grant_id,enterprise_id,grantee_id,tier,valid_from,valid_until,consent_id,reason
GR00001,ENT0154,FO4,2,2026-07-04,2026-07-18,CN0154,field_visit_preparation
GR00002,ENT0122,FO2,2,2024-02-01,2024-02-15,CN0122,field_visit_preparation
GR00003,ENT0202,FO3,2,2025-07-04,2025-07-18,CN0202,field_visit_preparation
GR00004,ENT0246,FO5,2,2023-12-01,2023-12-15,CN0246,field_visit_preparation
GR00005,ENT0135,FO6,2,2023-12-04,2023-12-18,CN0135,field_visit_preparation
GR00006,ENT0182,FO2,2,2025-03-04,2025-03-18,CN0182,field_visit_preparation
GR00007,ENT0222,FO3,2,2026-05-01,2026-05-15,CN0222,field_visit_preparation
GR00008,ENT0098,FO4,2,2025-10-01,2025-10-15,CN0098,field_visit_preparation
GR00009,ENT0160,FO5,2,2024-04-02,2024-04-16,CN0160,field_visit_preparation
GR00010,ENT0035,FO4,2,2024-02-01,2024-02-15,CN0035,field_visit_preparation
GR00011,ENT0175,FO2,2,2023-12-03,2023-12-17,CN0175,field_visit_preparation
GR00012,ENT0223,FO6,2,2025-03-01,2025-03-15,CN0223,field_visit_preparation
GR00013,ENT0251,FO1,2,2023-12-01,2023-12-15,CN0251,field_visit_preparation
GR00014,ENT0174,FO2,2,2024-09-03,2024-09-17,CN0174,field_visit_preparation
GR00015,ENT0229,FO2,2,2026-05-03,2026-05-17,CN0229,field_visit_preparation
GR00016,ENT0018,FO5,2,2025-08-03,2025-08-17,CN0018,field_visit_preparation
GR00017,ENT0090,FO4,2,2023-12-01,2023-12-15,CN0090,field_visit_preparation
GR00018,ENT0132,FO2,2,2025-08-04,2025-08-18,CN0132,field_visit_preparation
GR00019,ENT0188,FO5,2,2024-12-02,2024-12-16,CN0188,field_visit_preparation
GR00020,ENT0107,FO1,2,2026-05-02,2026-05-16,CN0107,field_visit_preparation
GR00021,ENT0213,FO2,2,2024-03-02,2024-03-16,CN0213,field_visit_preparation
GR00022,ENT0113,FO1,2,2026-05-03,2026-05-17,CN0113,field_visit_preparation
GR00023,ENT0233,FO5,2,2025-08-03,2025-08-17,CN0233,field_visit_preparation
GR00024,ENT0062,FO5,2,2026-05-03,2026-05-17,CN0062,field_visit_preparation
GR00025,ENT0140,FO6,2,2024-12-02,2024-12-16,CN0140,field_visit_preparation
GR00026,ENT0160,FO5,2,2024-06-04,2024-06-18,CN0160,field_visit_preparation
GR00027,ENT0006,FO3,2,2024-09-03,2024-09-17,CN0006,field_visit_preparation
GR00028,ENT0095,FO4,2,2025-05-02,2025-05-16,CN0095,field_visit_preparation
GR00029,ENT0091,FO4,2,2026-06-02,2026-06-16,CN0091,field_visit_preparation
GR00030,ENT0180,FO1,2,2025-07-01,2025-07-15,CN0180,field_visit_preparation
GR00031,ENT0005,FO2,2,2026-01-04,2026-01-18,CN0005,field_visit_preparation
GR00032,ENT0203,FO6,2,2025-06-03,2025-06-17,CN0203,field_visit_preparation
GR00033,ENT0057,FO3,2,2025-05-04,2025-05-18,CN0057,field_visit_preparation
GR00034,ENT0124,FO1,2,2024-06-01,2024-06-15,CN0124,field_visit_preparation
GR00035,ENT0094,FO5,2,2023-12-04,2023-12-18,CN0094,field_visit_preparation
GR00036,ENT0242,FO3,2,2025-05-01,2025-05-15,CN0242,field_visit_preparation
GR00037,ENT0096,FO1,2,2025-07-03,2025-07-17,CN0096,field_visit_preparation
GR00038,ENT0178,FO3,2,2025-05-01,2025-05-15,CN0178,field_visit_preparation
GR00039,ENT0184,FO1,2,2024-03-04,2024-03-18,CN0184,field_visit_preparation
GR00040,ENT0124,FO1,2,2024-04-01,2024-04-15,CN0124,field_visit_preparation
GR00041,ENT0001,FO1,2,2026-06-01,2026-06-15,CN0001,field_visit_preparation
GR00042,ENT0001,FO1,2,2026-08-02,2026-08-16,CN0001,field_visit_preparation
GR00043,ENT0014,FO1,2,2024-02-04,2024-02-18,CN0014,field_visit_preparation
GR00044,ENT0214,FO2,2,2023-12-03,2023-12-17,CN0214,field_visit_preparation
GR00045,ENT0150,FO1,2,2026-05-02,2026-05-16,CN0150,field_visit_preparation
GR00046,ENT0199,FO1,2,2024-07-04,2024-07-18,CN0199,field_visit_preparation
GR00047,ENT0223,FO6,2,2024-12-04,2024-12-18,CN0223,field_visit_preparation
GR00048,ENT0206,FO1,2,2024-09-04,2024-09-18,CN0206,field_visit_preparation
GR00049,ENT0198,FO1,2,2025-10-02,2025-10-16,CN0198,field_visit_preparation
