alert_id,assessment_id,enterprise_id,as_of,sector,district_id,prob_stress,prob_missed_repayment,rule_score,fused_score,risk_tier,tier_cutoffs,band_width,low_visibility,data_completeness,buffer_days,dscr_annual,credit_headroom,suggested_max_emi,bridge_headroom,net_buffer_days,forecast_net_90d_p10,forecast_net_90d_p50,forecast_net_90d_p90,reason_1,reason_1_contrib,reason_2,reason_2_contrib,reason_3,reason_3_contrib,fusion_weights,model_id,rule_version,raised_at,projected_shortfall,shortfall_week_of,deadline_date,expires_at,merchant_visible,exported_to_bureau,disputed_at
AL00001,AS000004,ENT0001,2024-02-29,DAIRY,1,0.800155161879671,4.5541622502256404e-05,0.3474,0.5511,AMBER,AMBER>=0.38;RED>=0.58,32624.0,False,0.617,58.4,6.37,8000.0,380.0,15000.0,58.4,-33496.0,-14839.0,-872.0,receivable_stretch,0.3333,demand_trough,0.3243,climate_shock,0.2857,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-02-29,66200.0,2024-06-28,2024-06-28,2024-05-14,True,False,
AL00002,AS000006,ENT0001,2024-04-30,DAIRY,1,0.8431562853401665,0.013014609528997838,0.6842,0.7557,RED,AMBER>=0.38;RED>=0.58,51414.0,False,0.617,28.5,4.77,5500.0,261.0,5000.0,28.5,-53818.0,-24731.0,-2404.0,margin_squeeze,1.0,receivable_stretch,0.3333,climate_shock,0.2857,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-04-30,60900.0,2024-08-28,2024-08-28,2024-07-14,True,False,
AL00003,AS000008,ENT0001,2024-06-30,DAIRY,1,0.013141691609074491,0.1399621087214387,0.7263,0.4054,AMBER,AMBER>=0.38;RED>=0.58,16905.0,False,0.644,-2.8,2.43,6900.0,328.0,7900.0,-2.8,-12116.0,-4454.0,4789.0,margin_squeeze,1.0,working_capital_erosion,1.0,,0.0,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-06-30,25000.0,2024-11-27,2024-11-27,2024-09-13,True,False,
AL00004,AS000010,ENT0001,2024-08-31,DAIRY,1,0.01834616601404397,0.08414262000855385,0.9789,0.5467,AMBER,AMBER>=0.38;RED>=0.58,34273.0,False,0.648,4.9,2.17,17100.0,813.0,6100.0,-25.7,5983.0,23775.0,40256.0,margin_squeeze,1.0,working_capital_erosion,0.7353,receivable_stretch,0.3333,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-08-31,0.0,,2024-09-07,2024-11-14,True,False,
AL00005,AS000013,ENT0001,2024-11-30,DAIRY,1,0.0472074108919241,0.00619705374113423,0.6947,0.4033,AMBER,AMBER>=0.38;RED>=0.58,18771.0,False,0.669,11.3,1.3,11900.0,566.0,9300.0,-12.3,28310.0,36530.0,47081.0,working_capital_erosion,0.7353,receivable_stretch,0.3333,debt_overhang,0.3056,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2024-11-30,17700.0,2025-05-29,2025-05-29,2025-02-13,True,False,
AL00006,AS000016,ENT0001,2025-02-28,DAIRY,1,0.7443412338857329,0.0004997954200079451,0.1263,0.4044,AMBER,AMBER>=0.38;RED>=0.58,38196.0,False,0.686,38.2,2.07,4100.0,195.0,13800.0,38.2,-38936.0,-12046.0,-740.0,demand_trough,0.3243,,0.0,,0.0,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-02-28,79200.0,2025-07-28,2025-07-28,2025-05-14,True,False,2025-03-03
AL00007,AS000018,ENT0001,2025-04-30,DAIRY,1,0.8504612514481577,0.9121036039541308,0.5579,0.6896,RED,AMBER>=0.38;RED>=0.58,47464.0,False,0.706,17.9,2.19,3800.0,181.0,10000.0,17.9,-55468.0,-25789.0,-8004.0,climate_shock,0.7143,working_capital_erosion,0.5588,margin_squeeze,0.2571,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-04-30,73500.0,2025-10-27,2025-10-27,2025-07-14,True,False,
AL00008,AS000020,ENT0001,2025-06-30,DAIRY,1,0.01241831591811847,0.061302609614935624,1.0,0.5556,AMBER,AMBER>=0.38;RED>=0.58,22208.0,False,0.708,0.9,2.25,3000.0,143.0,6600.0,-8.9,-13822.0,-6605.0,8386.0,margin_squeeze,1.0,working_capital_erosion,1.0,debt_overhang,0.7222,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-06-30,17000.0,2025-08-29,2025-08-29,2025-09-13,True,False,
AL00009,AS000022,ENT0001,2025-08-31,DAIRY,1,0.06666907275979032,0.0071821010193586126,0.6526,0.3889,AMBER,AMBER>=0.38;RED>=0.58,42884.0,False,0.725,13.6,3.77,20100.0,956.0,10200.0,-6.8,-5393.0,17317.0,37491.0,working_capital_erosion,0.7353,debt_overhang,0.7222,margin_squeeze,0.3143,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-08-31,8900.0,2025-09-30,2025-09-30,2025-11-14,True,False,
AL00010,AS000026,ENT0001,2025-12-31,DAIRY,1,0.040491381548275085,0.00013015606087795332,0.6737,0.3888,AMBER,AMBER>=0.38;RED>=0.58,41292.0,False,0.754,19.1,2.67,13900.0,661.0,11100.0,15.1,1634.0,21422.0,42926.0,demand_trough,0.5946,receivable_stretch,0.3333,debt_overhang,0.3056,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules,2025-12-31,59000.0,2026-06-29,2026-06-29,2026-03-16,True,False,
