audit_id,actor_id,actor_role,action,enterprise_id,tier_accessed,grant_id,occurred_at,merchant_notified
1,FO4,field_officer,view_t2_detail,ENT0154,2,GR00001,2026-07-04 16:00:00,True
2,FO2,field_officer,view_t2_detail,ENT0122,2,GR00002,2024-02-03 12:00:00,True
3,FO3,field_officer,view_t2_detail,ENT0202,2,GR00003,2025-07-06 10:00:00,True
4,FO5,field_officer,view_t2_detail,ENT0246,2,GR00004,2023-12-02 16:00:00,True
5,FO6,field_officer,view_t2_detail,ENT0135,2,GR00005,2023-12-04 13:00:00,True
6,FO2,field_officer,view_t2_detail,ENT0182,2,GR00006,2025-03-05 16:00:00,True
7,FO3,field_officer,view_t2_detail,ENT0222,2,GR00007,2026-05-01 15:00:00,True
8,FO4,field_officer,view_t2_detail,ENT0098,2,GR00008,2025-10-02 14:00:00,True
9,FO5,field_officer,view_t2_detail,ENT0160,2,GR00009,2024-04-03 09:00:00,True
10,FO4,field_officer,view_t2_detail,ENT0035,2,GR00010,2024-02-01 15:00:00,True
11,FO2,field_officer,view_t2_detail,ENT0175,2,GR00011,2023-12-03 22:00:00,True
12,FO6,field_officer,view_t2_detail,ENT0223,2,GR00012,2025-03-03 02:00:00,True
13,FO1,field_officer,view_t2_detail,ENT0251,2,GR00013,2023-12-02 14:00:00,True
14,FO2,field_officer,view_t2_detail,ENT0174,2,GR00014,2024-09-05 14:00:00,True
15,FO2,field_officer,view_t2_detail,ENT0229,2,GR00015,2026-05-03 07:00:00,True
16,FO5,field_officer,view_t2_detail,ENT0018,2,GR00016,2025-08-04 09:00:00,True
17,FO4,field_officer,view_t2_detail,ENT0090,2,GR00017,2023-12-03 13:00:00,True
18,FO2,field_officer,view_t2_detail,ENT0132,2,GR00018,2025-08-05 15:00:00,True
19,FO5,field_officer,view_t2_detail,ENT0188,2,GR00019,2024-12-02 22:00:00,True
20,FO1,field_officer,view_t2_detail,ENT0107,2,GR00020,2026-05-04 10:00:00,True
21,FO2,field_officer,view_t2_detail,ENT0213,2,GR00021,2024-03-03 13:00:00,True
22,FO1,field_officer,view_t2_detail,ENT0113,2,GR00022,2026-05-05 20:00:00,True
23,FO5,field_officer,view_t2_detail,ENT0233,2,GR00023,2025-08-05 00:00:00,True
24,FO5,field_officer,view_t2_detail,ENT0062,2,GR00024,2026-05-04 08:00:00,True
25,FO6,field_officer,view_t2_detail,ENT0140,2,GR00025,2024-12-02 13:00:00,True
26,FO5,field_officer,view_t2_detail,ENT0160,2,GR00026,2024-06-05 13:00:00,True
27,FO3,field_officer,view_t2_detail,ENT0006,2,GR00027,2024-09-05 00:00:00,True
28,FO4,field_officer,view_t2_detail,ENT0095,2,GR00028,2025-05-02 07:00:00,True
29,FO4,field_officer,view_t2_detail,ENT0091,2,GR00029,2026-06-03 04:00:00,True
30,FO1,field_officer,view_t2_detail,ENT0180,2,GR00030,2025-07-01 04:00:00,True
31,FO2,field_officer,view_t2_detail,ENT0005,2,GR00031,2026-01-06 12:00:00,True
32,FO6,field_officer,view_t2_detail,ENT0203,2,GR00032,2025-06-04 01:00:00,True
33,FO3,field_officer,view_t2_detail,ENT0057,2,GR00033,2025-05-04 07:00:00,True
34,FO1,field_officer,view_t2_detail,ENT0124,2,GR00034,2024-06-03 05:00:00,True
35,FO5,field_officer,view_t2_detail,ENT0094,2,GR00035,2023-12-04 09:00:00,True
36,FO3,field_officer,view_t2_detail,ENT0242,2,GR00036,2025-05-01 10:00:00,True
37,FO1,field_officer,view_t2_detail,ENT0096,2,GR00037,2025-07-05 02:00:00,True
38,FO3,field_officer,view_t2_detail,ENT0178,2,GR00038,2025-05-01 23:00:00,True
39,FO1,field_officer,view_t2_detail,ENT0184,2,GR00039,2024-03-05 18:00:00,True
40,FO1,field_officer,view_t2_detail,ENT0124,2,GR00040,2024-04-02 08:00:00,True
41,FO1,field_officer,view_t2_detail,ENT0001,2,GR00041,2026-06-01 03:00:00,True
42,FO1,field_officer,view_t2_detail,ENT0001,2,GR00042,2026-08-02 06:00:00,True
43,FO1,field_officer,view_t2_detail,ENT0014,2,GR00043,2024-02-05 03:00:00,True
44,FO2,field_officer,view_t2_detail,ENT0214,2,GR00044,2023-12-05 06:00:00,True
45,FO1,field_officer,view_t2_detail,ENT0150,2,GR00045,2026-05-03 17:00:00,True
46,FO1,field_officer,view_t2_detail,ENT0199,2,GR00046,2024-07-06 16:00:00,True
47,FO6,field_officer,view_t2_detail,ENT0223,2,GR00047,2024-12-05 16:00:00,True
48,FO1,field_officer,view_t2_detail,ENT0206,2,GR00048,2024-09-05 10:00:00,True
49,FO1,field_officer,view_t2_detail,ENT0198,2,GR00049,2025-10-03 23:00:00,True
50,FO2,field_officer,view_t2_detail,ENT0028,2,GR00050,2025-08-04 08:00:00,True
51,FO1,field_officer,view_t2_detail,ENT0107,2,GR00051,2025-02-06 01:00:00,True
