loan_id,enterprise_id,lender,principal,annual_rate_bps,tenor_months,disbursed_on,scheme_id
LN00011,ENT0001,Bharat MFI,50000.0,1250,48,2022-05-14,SB01
LN00021,ENT0002,Nizamabad RRB,287000.0,1050,30,2022-06-25,SB04
LN00031,ENT0003,Odisha Gramya Bank,188000.0,1400,24,2023-06-22,SB04
LN00032,ENT0003,Kolhapur DCCB,206000.0,1250,30,2024-08-30,SB04
LN00041,ENT0004,Anand DCCB,120000.0,1250,12,2022-05-28,SB04
LN00051,ENT0005,Nizamabad RRB,72000.0,1050,48,2022-08-22,
LN00061,ENT0006,Odisha Gramya Bank,237000.0,1400,30,2023-06-21,SB01
LN00071,ENT0007,Assam Gramin VB,386000.0,1250,24,2023-03-20,
LN00072,ENT0007,Kolhapur DCCB,195000.0,1050,60,2025-12-27,
LN00081,ENT0008,Bhilwara SFB,559000.0,1050,18,2023-01-05,
LN00091,ENT0009,Sanchay NBFC,900000.0,1250,30,2022-11-02,SB04
LN00101,ENT0010,Anand DCCB,238000.0,1400,18,2022-03-21,
LN00111,ENT0011,Bharat MFI,16000.0,1650,24,2023-03-28,
LN00131,ENT0013,Odisha Gramya Bank,32000.0,1050,24,2023-01-29,
LN00132,ENT0013,Assam Gramin VB,102000.0,1400,48,2024-05-06,
LN00141,ENT0014,Sanchay NBFC,27000.0,1400,12,2022-05-26,
LN00151,ENT0015,Odisha Gramya Bank,106000.0,1150,24,2022-07-15,SB04
LN00161,ENT0016,Bharat MFI,70000.0,2100,24,2022-09-01,
LN00171,ENT0017,Nizamabad RRB,356000.0,2100,18,2022-08-21,
LN00181,ENT0018,Bhilwara SFB,113000.0,950,48,2023-05-30,
LN00191,ENT0019,Bharat MFI,93000.0,1650,12,2023-06-20,
LN00201,ENT0020,Odisha Gramya Bank,779000.0,950,18,2023-03-11,SB04
LN00231,ENT0023,Kolhapur DCCB,136000.0,1400,12,2022-05-27,
LN00232,ENT0023,Assam Gramin VB,183000.0,1400,24,2024-05-07,
LN00251,ENT0025,Bharat MFI,228000.0,1400,24,2022-10-03,
LN00261,ENT0026,Assam Gramin VB,150000.0,1250,24,2022-05-11,SB04
LN00271,ENT0027,Anand DCCB,233000.0,950,12,2022-11-30,
LN00281,ENT0028,Bhilwara SFB,72000.0,1250,18,2022-10-27,SB01
LN00291,ENT0029,Bharat MFI,140000.0,1050,30,2023-03-09,
LN00301,ENT0030,Bharat MFI,171000.0,950,30,2022-04-22,SB01
LN00321,ENT0032,Kolhapur DCCB,228000.0,1050,36,2022-03-20,
LN00331,ENT0033,Nizamabad RRB,608000.0,1250,48,2022-07-26,
LN00341,ENT0034,Assam Gramin VB,403000.0,1050,24,2022-12-18,SB04
LN00351,ENT0035,Odisha Gramya Bank,101000.0,1050,12,2022-08-13,
LN00371,ENT0037,Assam Gramin VB,49000.0,2100,24,2023-07-08,
LN00381,ENT0038,Odisha Gramya Bank,71000.0,1250,30,2023-01-25,SB01
LN00382,ENT0038,Nizamabad RRB,206000.0,1250,18,2025-12-23,SB01
LN00391,ENT0039,Nizamabad RRB,120000.0,2100,60,2023-03-28,
LN00401,ENT0040,Odisha Gramya Bank,200000.0,1150,18,2023-07-06,SB04
LN00411,ENT0041,Bhilwara SFB,197000.0,1150,24,2022-03-25,
LN00412,ENT0041,Bharat MFI,172000.0,1250,36,2024-08-02,
LN00421,ENT0042,Bharat MFI,44000.0,950,36,2022-07-02,SB01
LN00422,ENT0042,Bharat MFI,105000.0,1400,24,2025-10-06,SB01
LN00431,ENT0043,Kolhapur DCCB,239000.0,1150,12,2022-06-10,SB04
LN00441,ENT0044,Odisha Gramya Bank,174000.0,950,30,2022-12-21,SB01
LN00451,ENT0045,Nizamabad RRB,197000.0,2100,24,2022-04-20,
LN00461,ENT0046,Bhilwara SFB,254000.0,950,24,2022-06-10,
LN00471,ENT0047,Odisha Gramya Bank,260000.0,1050,36,2022-10-19,
LN00481,ENT0048,Anand DCCB,54000.0,1400,60,2023-02-01,
LN00501,ENT0050,Assam Gramin VB,355000.0,1250,48,2022-10-01,SB04
LN00511,ENT0051,Anand DCCB,16000.0,2100,48,2022-04-26,
LN00512,ENT0051,Kolhapur DCCB,46000.0,1650,48,2024-11-02,
LN00521,ENT0052,Nizamabad RRB,101000.0,950,30,2023-07-25,SB01
LN00541,ENT0054,Bharat MFI,95000.0,1150,12,2023-07-03,SB01
LN00551,ENT0055,Nizamabad RRB,74000.0,1400,36,2022-05-24,
LN00571,ENT0057,Nizamabad RRB,305000.0,1150,36,2022-12-11,SB04
LN00581,ENT0058,Nizamabad RRB,162000.0,1400,60,2023-08-01,SB04
LN00582,ENT0058,Assam Gramin VB,291000.0,1150,36,2025-04-15,SB04
LN00591,ENT0059,Assam Gramin VB,662000.0,1250,18,2023-06-26,SB04
LN00592,ENT0059,Anand DCCB,139000.0,1150,48,2025-05-10,SB04
LN00601,ENT0060,Odisha Gramya Bank,123000.0,1250,36,2023-05-03,
LN00611,ENT0061,Bhilwara SFB,391000.0,1150,12,2022-06-13,
LN00631,ENT0063,Nizamabad RRB,35000.0,1400,24,2022-06-30,
LN00661,ENT0066,Anand DCCB,40000.0,950,48,2023-02-03,SB01
LN00671,ENT0067,Anand DCCB,64000.0,1050,12,2023-01-19,
LN00681,ENT0068,Bharat MFI,344000.0,1050,12,2022-07-09,
LN00701,ENT0070,Anand DCCB,127000.0,2100,18,2023-02-09,SB04
LN00711,ENT0071,Anand DCCB,262000.0,1050,60,2023-01-27,
LN00721,ENT0072,Kolhapur DCCB,41000.0,950,48,2023-03-16,
LN00731,ENT0073,Nizamabad RRB,337000.0,1650,18,2022-10-27,SB04
LN00751,ENT0075,Assam Gramin VB,286000.0,1050,48,2022-11-21,
LN00761,ENT0076,Bhilwara SFB,92000.0,1150,18,2022-11-05,
LN00781,ENT0078,Bharat MFI,77000.0,1400,48,2022-06-03,
LN00791,ENT0079,Bharat MFI,53000.0,1650,18,2022-06-02,
LN00801,ENT0080,Assam Gramin VB,146000.0,1400,48,2022-04-06,SB01
LN00811,ENT0081,Sanchay NBFC,195000.0,1400,48,2022-08-06,SB01
LN00821,ENT0082,Assam Gramin VB,20000.0,950,36,2022-11-13,SB01
LN00831,ENT0083,Bhilwara SFB,344000.0,1400,60,2022-07-05,SB04
LN00851,ENT0085,Bharat MFI,244000.0,1050,12,2022-09-16,
LN00861,ENT0086,Bhilwara SFB,139000.0,1150,24,2023-07-07,SB01
LN00871,ENT0087,Assam Gramin VB,103000.0,950,30,2022-08-22,SB01
LN00881,ENT0088,Odisha Gramya Bank,374000.0,2100,60,2022-07-30,
LN00891,ENT0089,Sanchay NBFC,58000.0,950,18,2022-10-14,SB01
LN00901,ENT0090,Assam Gramin VB,187000.0,1400,48,2022-06-11,SB04
LN00911,ENT0091,Anand DCCB,117000.0,1050,30,2022-09-27,SB01
LN00912,ENT0091,Odisha Gramya Bank,58000.0,2100,36,2024-08-30,SB01
LN00931,ENT0093,Sanchay NBFC,240000.0,1050,36,2023-07-29,
LN00961,ENT0096,Assam Gramin VB,138000.0,1150,30,2022-04-25,
LN00981,ENT0098,Bharat MFI,177000.0,1250,12,2023-03-22,
LN00991,ENT0099,Nizamabad RRB,450000.0,950,18,2022-03-23,
LN00992,ENT0099,Sanchay NBFC,505000.0,1400,36,2024-10-03,
LN01001,ENT0100,Nizamabad RRB,391000.0,2100,24,2022-11-28,SB04
LN01011,ENT0101,Bhilwara SFB,55000.0,1250,30,2022-08-30,
LN01021,ENT0102,Nizamabad RRB,455000.0,1050,60,2022-12-21,
LN01031,ENT0103,Bharat MFI,243000.0,1650,24,2022-08-16,
LN01032,ENT0103,Sanchay NBFC,247000.0,950,24,2024-10-16,
LN01041,ENT0104,Nizamabad RRB,479000.0,1250,36,2022-12-21,
LN01051,ENT0105,Sanchay NBFC,48000.0,1650,12,2022-09-11,
LN01061,ENT0106,Bhilwara SFB,293000.0,1050,12,2022-11-09,
LN01071,ENT0107,Nizamabad RRB,140000.0,2100,30,2022-07-27,SB01
LN01091,ENT0109,Assam Gramin VB,158000.0,1650,30,2022-04-27,SB04
LN01101,ENT0110,Sanchay NBFC,77000.0,1250,36,2022-10-30,SB04
LN01111,ENT0111,Anand DCCB,55000.0,1650,30,2022-11-05,
LN01121,ENT0112,Odisha Gramya Bank,900000.0,1650,18,2023-04-05,
LN01131,ENT0113,Kolhapur DCCB,146000.0,1250,36,2022-11-06,
LN01132,ENT0113,Nizamabad RRB,220000.0,1150,18,2026-01-05,
LN01141,ENT0114,Nizamabad RRB,288000.0,2100,12,2022-05-06,
LN01151,ENT0115,Kolhapur DCCB,166000.0,1250,36,2022-07-27,SB01
LN01152,ENT0115,Assam Gramin VB,73000.0,2100,12,2024-07-17,SB01
LN01161,ENT0116,Kolhapur DCCB,188000.0,950,18,2022-08-20,
LN01171,ENT0117,Anand DCCB,790000.0,1150,18,2023-01-19,SB04
LN01181,ENT0118,Bhilwara SFB,208000.0,1400,48,2022-12-31,
LN01201,ENT0120,Anand DCCB,257000.0,2100,12,2022-07-16,
