task_id,alert_id,enterprise_id,officer_id,assigned_on,priority_score,status
TK00001,AL00001,ENT0001,FO1,2024-03-01,0.5511,closed
TK00002,AL00002,ENT0001,FO1,2024-05-03,0.7557,open
TK00003,AL00003,ENT0001,FO1,2024-07-03,0.4054,closed
TK00004,AL00004,ENT0001,FO1,2024-09-04,0.5467,open
TK00005,AL00005,ENT0001,FO1,2024-12-01,0.4033,open
TK00006,AL00006,ENT0001,FO1,2025-03-02,0.4044,closed
TK00007,AL00007,ENT0001,FO1,2025-05-03,0.6896,closed
TK00008,AL00008,ENT0001,FO1,2025-07-04,0.5556,closed
TK00009,AL00009,ENT0001,FO1,2025-09-03,0.3889,closed
TK00010,AL00010,ENT0001,FO1,2026-01-03,0.3888,closed
TK00011,AL00011,ENT0001,FO1,2026-04-04,0.4998,open
TK00012,AL00012,ENT0001,FO1,2026-06-01,0.5898,closed
TK00013,AL00013,ENT0001,FO1,2026-08-02,0.3914,closed
TK00014,AL00014,ENT0002,FO5,2023-12-01,0.4731,closed
TK00015,AL00015,ENT0002,FO5,2025-05-02,0.4111,open
TK00016,AL00016,ENT0002,FO5,2026-05-03,0.4169,closed
TK00017,AL00017,ENT0003,FO4,2023-12-03,0.6193,closed
TK00018,AL00018,ENT0003,FO4,2024-02-01,0.6089,closed
TK00019,AL00019,ENT0003,FO4,2024-04-04,0.3804,closed
TK00020,AL00020,ENT0003,FO4,2024-06-04,0.5018,closed
TK00021,AL00021,ENT0003,FO4,2024-12-04,0.3822,open
TK00022,AL00022,ENT0003,FO4,2026-05-01,0.4633,closed
TK00023,AL00023,ENT0004,FO3,2025-05-02,0.5211,closed
TK00024,AL00024,ENT0004,FO3,2026-05-01,0.4749,closed
TK00025,AL00025,ENT0005,FO2,2023-12-03,0.495,closed
TK00026,AL00026,ENT0005,FO2,2024-02-03,0.5214,open
TK00027,AL00027,ENT0005,FO2,2025-03-03,0.4053,closed
TK00028,AL00028,ENT0005,FO2,2025-05-02,0.3881,closed
