batch_id,enterprise_id,placed_on,realised_on,grow_days,chicks_placed,placement_cost,feed_on_dealer_credit,realisation,realisation_price
ENT0017-B01,ENT0017,2023-08-05,2023-09-16,42,58636,17766.0,42783.0,107204.0,93.93
ENT0017-B02,ENT0017,2023-09-26,2023-11-07,42,72457,16138.0,38586.0,153659.0,105.9
ENT0017-B03,ENT0017,2023-11-15,2023-12-27,42,63554,14416.0,38003.0,173902.0,107.47
ENT0017-B04,ENT0017,2024-01-05,2024-02-16,42,90187,14617.0,39249.0,172569.0,106.61
ENT0017-B05,ENT0017,2024-02-24,2024-04-06,42,74857,17399.0,43226.0,137278.0,92.92
ENT0017-B06,ENT0017,2024-04-15,2024-05-27,42,61113,19256.0,44603.0,107344.0,83.57
ENT0017-B07,ENT0017,2024-06-04,2024-07-16,42,86317,20316.0,47250.0,92292.0,83.23
ENT0017-B08,ENT0017,2024-07-26,2024-09-06,42,84070,22214.0,45589.0,117625.0,99.18
ENT0017-B09,ENT0017,2024-09-15,2024-10-27,42,65746,16437.0,40102.0,154701.0,109.62
ENT0017-B10,ENT0017,2024-11-04,2024-12-16,42,85824,15855.0,40318.0,223095.0,119.66
ENT0017-B11,ENT0017,2024-12-24,2025-02-04,42,70894,18298.0,41400.0,199904.0,113.65
ENT0017-B12,ENT0017,2025-02-13,2025-03-27,42,64542,16928.0,45413.0,159384.0,102.54
ENT0017-B13,ENT0017,2025-04-05,2025-05-17,42,78852,18472.0,48419.0,121376.0,88.05
ENT0017-B14,ENT0017,2025-05-27,2025-07-08,42,68991,17624.0,50433.0,86090.0,89.33
ENT0017-B15,ENT0017,2025-07-16,2025-08-27,42,60797,24286.0,50896.0,100898.0,98.97
ENT0017-B16,ENT0017,2025-09-05,2025-10-17,42,67203,20235.0,45921.0,160851.0,111.41
ENT0017-B17,ENT0017,2025-10-25,2025-12-06,42,67575,17515.0,42646.0,192580.0,119.32
ENT0017-B18,ENT0017,2025-12-15,2026-01-26,42,68136,17272.0,43131.0,199281.0,112.46
ENT0017-B19,ENT0017,2026-02-05,2026-03-19,42,70536,20928.0,50074.0,150455.0,104.13
ENT0017-B20,ENT0017,2026-03-28,2026-05-09,42,61582,26403.0,56562.0,92274.0,92.81
ENT0017-B21,ENT0017,2026-05-18,2026-06-29,42,65616,21304.0,60113.0,115722.0,89.3
ENT0019-B01,ENT0019,2023-08-09,2023-09-20,42,46580,12995.0,34069.0,70082.0,95.12
ENT0019-B02,ENT0019,2023-09-28,2023-11-09,42,62859,11669.0,29101.0,132870.0,105.01
ENT0019-B03,ENT0019,2023-11-17,2023-12-29,42,50939,10915.0,28153.0,161032.0,111.84
ENT0019-B04,ENT0019,2024-01-05,2024-02-16,42,64222,10886.0,29699.0,140518.0,102.96
ENT0019-B05,ENT0019,2024-02-23,2024-04-05,42,53498,12091.0,32324.0,93148.0,86.93
ENT0019-B06,ENT0019,2024-04-15,2024-05-27,42,47951,15254.0,35743.0,74586.0,84.63
ENT0019-B07,ENT0019,2024-06-04,2024-07-16,42,63531,15587.0,36923.0,87046.0,84.66
ENT0019-B08,ENT0019,2024-07-25,2024-09-05,42,60145,16877.0,37844.0,89895.0,98.58
ENT0019-B09,ENT0019,2024-09-14,2024-10-26,42,59257,13855.0,32758.0,131852.0,110.61
ENT0019-B10,ENT0019,2024-11-04,2024-12-16,42,53088,13345.0,30773.0,84122.0,108.07
ENT0019-B11,ENT0019,2024-12-23,2025-02-03,42,49382,13320.0,30994.0,82167.0,96.24
ENT0019-B12,ENT0019,2025-02-13,2025-03-27,42,60665,14609.0,35557.0,101223.0,90.23
ENT0019-B13,ENT0019,2025-04-05,2025-05-17,42,51019,17359.0,40865.0,70512.0,76.03
ENT0019-B14,ENT0019,2025-05-27,2025-07-08,42,54430,16529.0,42312.0,49830.0,75.51
ENT0019-B15,ENT0019,2025-07-17,2025-08-28,42,57707,17354.0,39637.0,78803.0,79.05
ENT0019-B16,ENT0019,2025-09-07,2025-10-19,42,50621,17113.0,37444.0,81767.0,96.5
ENT0019-B17,ENT0019,2025-10-27,2025-12-08,42,55983,15263.0,32861.0,150661.0,106.1
ENT0019-B18,ENT0019,2025-12-18,2026-01-29,42,54784,12964.0,33456.0,136120.0,107.61
ENT0019-B19,ENT0019,2026-02-06,2026-03-20,42,53904,13902.0,39310.0,92962.0,96.29
ENT0019-B20,ENT0019,2026-03-27,2026-05-08,42,49632,20706.0,45596.0,74431.0,83.13
ENT0019-B21,ENT0019,2026-05-16,2026-06-27,42,51481,20894.0,50939.0,76578.0,79.74
ENT0024-B01,ENT0024,2023-08-07,2023-09-18,42,46056,14461.0,29491.0,62619.0,95.71
ENT0024-B02,ENT0024,2023-09-27,2023-11-08,42,49578,13824.0,26543.0,108785.0,104.54
ENT0024-B03,ENT0024,2023-11-17,2023-12-29,42,57876,10652.0,25024.0,157079.0,111.84
ENT0024-B04,ENT0024,2024-01-05,2024-02-16,42,58784,12316.0,26102.0,128405.0,102.96
ENT0024-B05,ENT0024,2024-02-25,2024-04-07,42,42386,11683.0,29091.0,70965.0,87.83
ENT0024-B06,ENT0024,2024-04-17,2024-05-29,42,42653,13615.0,32428.0,65743.0,85.64
ENT0024-B07,ENT0024,2024-06-08,2024-07-20,42,52997,12558.0,34212.0,86316.0,83.56
ENT0024-B08,ENT0024,2024-07-27,2024-09-07,42,43627,12609.0,33658.0,70311.0,98.54
ENT0024-B09,ENT0024,2024-09-14,2024-10-26,42,54252,15108.0,29477.0,137874.0,110.61
ENT0024-B10,ENT0024,2024-11-04,2024-12-16,42,59603,12242.0,28292.0,76036.0,108.07
ENT0024-B11,ENT0024,2024-12-23,2025-02-03,42,49442,11032.0,28313.0,111516.0,96.24
ENT0024-B12,ENT0024,2025-02-12,2025-03-26,42,45788,13958.0,30461.0,84971.0,90.49
ENT0024-B13,ENT0024,2025-04-03,2025-05-15,42,44808,14651.0,35451.0,54802.0,76.06
ENT0024-B14,ENT0024,2025-05-24,2025-07-05,42,47197,15891.0,38391.0,56533.0,77.4
ENT0024-B15,ENT0024,2025-07-15,2025-08-26,42,60849,13770.0,36903.0,70232.0,79.34
ENT0024-B16,ENT0024,2025-09-05,2025-10-17,42,41482,13142.0,34317.0,81162.0,96.26
ENT0024-B17,ENT0024,2025-10-24,2025-12-05,42,49741,14088.0,30505.0,147098.0,107.41
ENT0024-B18,ENT0024,2025-12-13,2026-01-24,42,58196,10952.0,30002.0,134517.0,107.7
ENT0024-B19,ENT0024,2026-02-03,2026-03-17,42,49454,12747.0,34659.0,98605.0,95.18
ENT0024-B20,ENT0024,2026-03-25,2026-05-06,42,57368,15435.0,40231.0,87772.0,82.79
ENT0024-B21,ENT0024,2026-05-14,2026-06-25,42,59068,15624.0,44578.0,67823.0,79.07
ENT0033-B01,ENT0033,2023-08-04,2023-09-15,42,107498,29339.0,69748.0,116754.0,96.06
ENT0033-B02,ENT0033,2023-09-25,2023-11-06,42,86155,25183.0,67831.0,190317.0,109.44
ENT0033-B03,ENT0033,2023-11-14,2023-12-26,42,85456,27449.0,64399.0,243513.0,113.72
ENT0033-B04,ENT0033,2024-01-03,2024-02-14,42,89659,30897.0,63653.0,234384.0,108.3
ENT0033-B05,ENT0033,2024-02-24,2024-04-06,42,84947,26923.0,76891.0,177837.0,89.35
ENT0033-B06,ENT0033,2024-04-14,2024-05-26,42,100662,32117.0,79275.0,160477.0,81.72
ENT0033-B07,ENT0033,2024-06-03,2024-07-15,42,103921,30470.0,83060.0,161331.0,84.34
ENT0033-B08,ENT0033,2024-07-25,2024-09-05,42,100759,39038.0,75712.0,193855.0,101.86
ENT0033-B09,ENT0033,2024-09-15,2024-10-27,42,123178,36639.0,72868.0,237578.0,107.89
ENT0033-B10,ENT0033,2024-11-03,2024-12-15,42,109421,32443.0,66073.0,175596.0,106.64
ENT0033-B11,ENT0033,2024-12-23,2025-02-03,42,120196,25273.0,67527.0,230794.0,92.5
ENT0033-B12,ENT0033,2025-02-12,2025-03-26,42,104683,32460.0,76296.0,189830.0,88.91
ENT0033-B13,ENT0033,2025-04-05,2025-05-17,42,98902,35909.0,81410.0,143335.0,77.67
ENT0033-B14,ENT0033,2025-05-24,2025-07-05,42,102596,39864.0,88015.0,127690.0,79.82
ENT0033-B15,ENT0033,2025-07-13,2025-08-24,42,121036,31182.0,83736.0,145883.0,84.92
ENT0033-B16,ENT0033,2025-08-31,2025-10-12,42,84864,35792.0,77666.0,173085.0,99.76
ENT0033-B17,ENT0033,2025-10-20,2025-12-01,42,102543,29709.0,72517.0,289907.0,107.99
ENT0033-B18,ENT0033,2025-12-10,2026-01-21,42,87630,25843.0,69682.0,248951.0,110.98
ENT0033-B19,ENT0033,2026-01-28,2026-03-11,42,106142,27195.0,78689.0,215055.0,97.43
