recommendation_id,alert_id,enterprise_id,rank,mechanism,action_key,params,audience,rendered_lang
RC000001,AL00001,ENT0001,1,receivable_stretch,collect_udhaar,"{""amount"": 66200.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000002,AL00001,ENT0001,2,demand_trough,stagger_batch,"{""amount"": 66200.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000003,AL00001,ENT0001,3,climate_shock,prebook_input,"{""amount"": 66200.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000004,AL00002,ENT0001,1,margin_squeeze,prebook_input,"{""amount"": 60900.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000005,AL00002,ENT0001,2,receivable_stretch,collect_udhaar,"{""amount"": 60900.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000006,AL00002,ENT0001,3,climate_shock,prebook_input,"{""amount"": 60900.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000007,AL00003,ENT0001,1,margin_squeeze,prebook_input,"{""amount"": 25000.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000008,AL00003,ENT0001,2,working_capital_erosion,request_bridge_loan,"{""amount"": 25000.0, ""days"": 30, ""months"": 3}",both,gu
RC000009,AL00004,ENT0001,1,margin_squeeze,prebook_input,"{""amount"": 2000.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000010,AL00004,ENT0001,2,working_capital_erosion,request_bridge_loan,"{""amount"": 2000.0, ""days"": 30, ""months"": 3}",both,gu
RC000011,AL00004,ENT0001,3,receivable_stretch,collect_udhaar,"{""amount"": 2000.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000012,AL00005,ENT0001,1,working_capital_erosion,request_bridge_loan,"{""amount"": 17700.0, ""days"": 30, ""months"": 3}",both,gu
RC000013,AL00005,ENT0001,2,receivable_stretch,collect_udhaar,"{""amount"": 17700.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000014,AL00005,ENT0001,3,debt_overhang,restructure_emi,"{""amount"": 17700.0, ""days"": 30, ""months"": 3}",both,gu
RC000015,AL00006,ENT0001,1,demand_trough,stagger_batch,"{""amount"": 79200.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000016,AL00007,ENT0001,1,climate_shock,prebook_input,"{""amount"": 73500.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000017,AL00007,ENT0001,2,working_capital_erosion,request_bridge_loan,"{""amount"": 73500.0, ""days"": 30, ""months"": 3}",both,gu
RC000018,AL00007,ENT0001,3,margin_squeeze,prebook_input,"{""amount"": 73500.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000019,AL00008,ENT0001,1,margin_squeeze,prebook_input,"{""amount"": 17000.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000020,AL00008,ENT0001,2,working_capital_erosion,request_bridge_loan,"{""amount"": 17000.0, ""days"": 30, ""months"": 3}",both,gu
RC000021,AL00008,ENT0001,3,debt_overhang,restructure_emi,"{""amount"": 17000.0, ""days"": 30, ""months"": 3}",both,gu
RC000022,AL00009,ENT0001,1,working_capital_erosion,request_bridge_loan,"{""amount"": 8900.0, ""days"": 30, ""months"": 3}",both,gu
RC000023,AL00009,ENT0001,2,debt_overhang,restructure_emi,"{""amount"": 8900.0, ""days"": 30, ""months"": 3}",both,gu
RC000024,AL00009,ENT0001,3,margin_squeeze,prebook_input,"{""amount"": 8900.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000025,AL00010,ENT0001,1,demand_trough,stagger_batch,"{""amount"": 59000.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000026,AL00010,ENT0001,2,receivable_stretch,collect_udhaar,"{""amount"": 59000.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000027,AL00010,ENT0001,3,debt_overhang,restructure_emi,"{""amount"": 59000.0, ""days"": 30, ""months"": 3}",both,gu
RC000028,AL00011,ENT0001,1,demand_trough,stagger_batch,"{""amount"": 86200.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000029,AL00011,ENT0001,2,margin_squeeze,prebook_input,"{""amount"": 86200.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000030,AL00012,ENT0001,1,margin_squeeze,prebook_input,"{""amount"": 49900.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000031,AL00012,ENT0001,2,working_capital_erosion,request_bridge_loan,"{""amount"": 49900.0, ""days"": 30, ""months"": 3}",both,gu
RC000032,AL00012,ENT0001,3,receivable_stretch,collect_udhaar,"{""amount"": 49900.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000033,AL00013,ENT0001,1,margin_squeeze,prebook_input,"{""amount"": 36700.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000034,AL00013,ENT0001,2,working_capital_erosion,request_bridge_loan,"{""amount"": 36700.0, ""days"": 30, ""months"": 3}",both,gu
RC000035,AL00013,ENT0001,3,debt_overhang,restructure_emi,"{""amount"": 36700.0, ""days"": 30, ""months"": 3}",both,gu
RC000036,AL00014,ENT0002,1,working_capital_erosion,request_bridge_loan,"{""amount"": 24000.0, ""days"": 30, ""months"": 3}",both,as
RC000037,AL00014,ENT0002,2,demand_trough,stagger_batch,"{""amount"": 24000.0, ""days"": 30, ""months"": 3}",merchant,as
RC000038,AL00014,ENT0002,3,debt_overhang,restructure_emi,"{""amount"": 24000.0, ""days"": 30, ""months"": 3}",both,as
RC000039,AL00015,ENT0002,1,demand_trough,stagger_batch,"{""amount"": 7200.0, ""days"": 30, ""months"": 3}",merchant,as
RC000040,AL00015,ENT0002,2,climate_shock,prebook_input,"{""amount"": 7200.0, ""days"": 30, ""months"": 3}",merchant,as
RC000041,AL00015,ENT0002,3,receivable_stretch,collect_udhaar,"{""amount"": 7200.0, ""days"": 30, ""months"": 3}",merchant,as
RC000042,AL00016,ENT0002,1,demand_trough,stagger_batch,"{""amount"": 2000.0, ""days"": 30, ""months"": 3}",merchant,as
RC000043,AL00016,ENT0002,2,climate_shock,prebook_input,"{""amount"": 2000.0, ""days"": 30, ""months"": 3}",merchant,as
RC000044,AL00016,ENT0002,3,receivable_stretch,collect_udhaar,"{""amount"": 2000.0, ""days"": 30, ""months"": 3}",merchant,as
RC000045,AL00017,ENT0003,1,debt_overhang,restructure_emi,"{""amount"": 50500.0, ""days"": 30, ""months"": 3}",both,mr
RC000046,AL00017,ENT0003,2,working_capital_erosion,request_bridge_loan,"{""amount"": 50500.0, ""days"": 30, ""months"": 3}",both,mr
RC000047,AL00017,ENT0003,3,demand_trough,stagger_batch,"{""amount"": 50500.0, ""days"": 30, ""months"": 3}",merchant,mr
RC000048,AL00018,ENT0003,1,working_capital_erosion,request_bridge_loan,"{""amount"": 71300.0, ""days"": 30, ""months"": 3}",both,mr
RC000049,AL00018,ENT0003,2,debt_overhang,restructure_emi,"{""amount"": 71300.0, ""days"": 30, ""months"": 3}",both,mr
RC000050,AL00018,ENT0003,3,climate_shock,prebook_input,"{""amount"": 71300.0, ""days"": 30, ""months"": 3}",merchant,mr
RC000051,AL00019,ENT0003,1,working_capital_erosion,request_bridge_loan,"{""amount"": 25300.0, ""days"": 30, ""months"": 3}",both,mr
RC000052,AL00019,ENT0003,2,demand_trough,stagger_batch,"{""amount"": 25300.0, ""days"": 30, ""months"": 3}",merchant,mr
RC000053,AL00019,ENT0003,3,debt_overhang,restructure_emi,"{""amount"": 25300.0, ""days"": 30, ""months"": 3}",both,mr
RC000054,AL00020,ENT0003,1,working_capital_erosion,request_bridge_loan,"{""amount"": 14300.0, ""days"": 30, ""months"": 3}",both,mr
RC000055,AL00020,ENT0003,2,demand_trough,stagger_batch,"{""amount"": 14300.0, ""days"": 30, ""months"": 3}",merchant,mr
RC000056,AL00020,ENT0003,3,debt_overhang,restructure_emi,"{""amount"": 14300.0, ""days"": 30, ""months"": 3}",both,mr
RC000057,AL00021,ENT0003,1,demand_trough,stagger_batch,"{""amount"": 85400.0, ""days"": 30, ""months"": 3}",merchant,mr
RC000058,AL00021,ENT0003,2,climate_shock,prebook_input,"{""amount"": 85400.0, ""days"": 30, ""months"": 3}",merchant,mr
RC000059,AL00021,ENT0003,3,working_capital_erosion,request_bridge_loan,"{""amount"": 85400.0, ""days"": 30, ""months"": 3}",both,mr
RC000060,AL00022,ENT0003,1,demand_trough,stagger_batch,"{""amount"": 21400.0, ""days"": 30, ""months"": 3}",merchant,mr
RC000061,AL00022,ENT0003,2,climate_shock,prebook_input,"{""amount"": 21400.0, ""days"": 30, ""months"": 3}",merchant,mr
RC000062,AL00022,ENT0003,3,working_capital_erosion,request_bridge_loan,"{""amount"": 21400.0, ""days"": 30, ""months"": 3}",both,mr
RC000063,AL00023,ENT0004,1,climate_shock,prebook_input,"{""amount"": 18100.0, ""days"": 30, ""months"": 3}",merchant,te
RC000064,AL00023,ENT0004,2,demand_trough,stagger_batch,"{""amount"": 18100.0, ""days"": 30, ""months"": 3}",merchant,te
RC000065,AL00023,ENT0004,3,working_capital_erosion,request_bridge_loan,"{""amount"": 18100.0, ""days"": 30, ""months"": 3}",both,te
RC000066,AL00024,ENT0004,1,demand_trough,stagger_batch,"{""amount"": 102100.0, ""days"": 30, ""months"": 3}",merchant,te
RC000067,AL00024,ENT0004,2,climate_shock,prebook_input,"{""amount"": 102100.0, ""days"": 30, ""months"": 3}",merchant,te
RC000068,AL00024,ENT0004,3,receivable_stretch,collect_udhaar,"{""amount"": 102100.0, ""days"": 30, ""months"": 3}",merchant,te
RC000069,AL00025,ENT0005,1,working_capital_erosion,request_bridge_loan,"{""amount"": 31000.0, ""days"": 30, ""months"": 3}",both,hi
RC000070,AL00025,ENT0005,2,debt_overhang,restructure_emi,"{""amount"": 31000.0, ""days"": 30, ""months"": 3}",both,hi
RC000071,AL00025,ENT0005,3,receivable_stretch,collect_udhaar,"{""amount"": 31000.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000072,AL00026,ENT0005,1,working_capital_erosion,request_bridge_loan,"{""amount"": 25200.0, ""days"": 30, ""months"": 3}",both,hi
RC000073,AL00026,ENT0005,2,receivable_stretch,collect_udhaar,"{""amount"": 25200.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000074,AL00026,ENT0005,3,demand_trough,stagger_batch,"{""amount"": 25200.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000075,AL00027,ENT0005,1,receivable_stretch,collect_udhaar,"{""amount"": 19000.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000076,AL00027,ENT0005,2,demand_trough,stagger_batch,"{""amount"": 19000.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000077,AL00028,ENT0005,1,receivable_stretch,collect_udhaar,"{""amount"": 79300.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000078,AL00028,ENT0005,2,climate_shock,prebook_input,"{""amount"": 79300.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000079,AL00028,ENT0005,3,working_capital_erosion,request_bridge_loan,"{""amount"": 79300.0, ""days"": 30, ""months"": 3}",both,hi
RC000080,AL00029,ENT0005,1,receivable_stretch,collect_udhaar,"{""amount"": 18700.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000081,AL00029,ENT0005,2,demand_trough,stagger_batch,"{""amount"": 18700.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000082,AL00029,ENT0005,3,working_capital_erosion,request_bridge_loan,"{""amount"": 18700.0, ""days"": 30, ""months"": 3}",both,hi
RC000083,AL00030,ENT0005,1,receivable_stretch,collect_udhaar,"{""amount"": 49500.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000084,AL00030,ENT0005,2,climate_shock,prebook_input,"{""amount"": 49500.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000085,AL00030,ENT0005,3,working_capital_erosion,request_bridge_loan,"{""amount"": 49500.0, ""days"": 30, ""months"": 3}",both,hi
RC000086,AL00031,ENT0006,1,demand_trough,stagger_batch,"{""amount"": 198000.0, ""days"": 30, ""months"": 3}",merchant,te
RC000087,AL00031,ENT0006,2,climate_shock,prebook_input,"{""amount"": 198000.0, ""days"": 30, ""months"": 3}",merchant,te
RC000088,AL00031,ENT0006,3,debt_overhang,restructure_emi,"{""amount"": 198000.0, ""days"": 30, ""months"": 3}",both,te
RC000089,AL00032,ENT0006,1,margin_squeeze,prebook_input,"{""amount"": 132400.0, ""days"": 30, ""months"": 3}",merchant,te
RC000090,AL00032,ENT0006,2,debt_overhang,restructure_emi,"{""amount"": 132400.0, ""days"": 30, ""months"": 3}",both,te
RC000091,AL00032,ENT0006,3,working_capital_erosion,request_bridge_loan,"{""amount"": 132400.0, ""days"": 30, ""months"": 3}",both,te
RC000092,AL00033,ENT0006,1,margin_squeeze,prebook_input,"{""amount"": 32200.0, ""days"": 30, ""months"": 3}",merchant,te
RC000093,AL00033,ENT0006,2,working_capital_erosion,request_bridge_loan,"{""amount"": 32200.0, ""days"": 30, ""months"": 3}",both,te
RC000094,AL00033,ENT0006,3,debt_overhang,restructure_emi,"{""amount"": 32200.0, ""days"": 30, ""months"": 3}",both,te
RC000095,AL00034,ENT0006,1,debt_overhang,restructure_emi,"{""amount"": 24900.0, ""days"": 30, ""months"": 3}",both,te
RC000096,AL00034,ENT0006,2,working_capital_erosion,request_bridge_loan,"{""amount"": 24900.0, ""days"": 30, ""months"": 3}",both,te
RC000097,AL00034,ENT0006,3,climate_shock,prebook_input,"{""amount"": 24900.0, ""days"": 30, ""months"": 3}",merchant,te
RC000098,AL00035,ENT0006,1,working_capital_erosion,request_bridge_loan,"{""amount"": 34100.0, ""days"": 30, ""months"": 3}",both,te
RC000099,AL00035,ENT0006,2,debt_overhang,restructure_emi,"{""amount"": 34100.0, ""days"": 30, ""months"": 3}",both,te
RC000100,AL00036,ENT0006,1,debt_overhang,restructure_emi,"{""amount"": 72900.0, ""days"": 30, ""months"": 3}",both,te
RC000101,AL00036,ENT0006,2,demand_trough,stagger_batch,"{""amount"": 72900.0, ""days"": 30, ""months"": 3}",merchant,te
RC000102,AL00036,ENT0006,3,working_capital_erosion,request_bridge_loan,"{""amount"": 72900.0, ""days"": 30, ""months"": 3}",both,te
RC000103,AL00037,ENT0006,1,demand_trough,stagger_batch,"{""amount"": 159100.0, ""days"": 30, ""months"": 3}",merchant,te
RC000104,AL00037,ENT0006,2,working_capital_erosion,request_bridge_loan,"{""amount"": 159100.0, ""days"": 30, ""months"": 3}",both,te
RC000105,AL00037,ENT0006,3,debt_overhang,restructure_emi,"{""amount"": 159100.0, ""days"": 30, ""months"": 3}",both,te
RC000106,AL00038,ENT0006,1,margin_squeeze,prebook_input,"{""amount"": 95400.0, ""days"": 30, ""months"": 3}",merchant,te
RC000107,AL00038,ENT0006,2,working_capital_erosion,request_bridge_loan,"{""amount"": 95400.0, ""days"": 30, ""months"": 3}",both,te
RC000108,AL00038,ENT0006,3,debt_overhang,restructure_emi,"{""amount"": 95400.0, ""days"": 30, ""months"": 3}",both,te
RC000109,AL00039,ENT0006,1,margin_squeeze,prebook_input,"{""amount"": 25800.0, ""days"": 30, ""months"": 3}",merchant,te
RC000110,AL00039,ENT0006,2,working_capital_erosion,request_bridge_loan,"{""amount"": 25800.0, ""days"": 30, ""months"": 3}",both,te
RC000111,AL00039,ENT0006,3,debt_overhang,restructure_emi,"{""amount"": 25800.0, ""days"": 30, ""months"": 3}",both,te
RC000112,AL00040,ENT0006,1,working_capital_erosion,request_bridge_loan,"{""amount"": 17600.0, ""days"": 30, ""months"": 3}",both,te
RC000113,AL00040,ENT0006,2,receivable_stretch,collect_udhaar,"{""amount"": 17600.0, ""days"": 30, ""months"": 3}",merchant,te
RC000114,AL00040,ENT0006,3,debt_overhang,restructure_emi,"{""amount"": 17600.0, ""days"": 30, ""months"": 3}",both,te
RC000115,AL00041,ENT0006,1,demand_trough,stagger_batch,"{""amount"": 139300.0, ""days"": 30, ""months"": 3}",merchant,te
RC000116,AL00041,ENT0006,2,climate_shock,prebook_input,"{""amount"": 139300.0, ""days"": 30, ""months"": 3}",merchant,te
RC000117,AL00042,ENT0006,1,margin_squeeze,prebook_input,"{""amount"": 61500.0, ""days"": 30, ""months"": 3}",merchant,te
RC000118,AL00042,ENT0006,2,working_capital_erosion,request_bridge_loan,"{""amount"": 61500.0, ""days"": 30, ""months"": 3}",both,te
RC000119,AL00042,ENT0006,3,receivable_stretch,collect_udhaar,"{""amount"": 61500.0, ""days"": 30, ""months"": 3}",merchant,te
RC000120,AL00043,ENT0006,1,margin_squeeze,prebook_input,"{""amount"": 45100.0, ""days"": 30, ""months"": 3}",merchant,te
RC000121,AL00043,ENT0006,2,working_capital_erosion,request_bridge_loan,"{""amount"": 45100.0, ""days"": 30, ""months"": 3}",both,te
RC000122,AL00043,ENT0006,3,debt_overhang,restructure_emi,"{""amount"": 45100.0, ""days"": 30, ""months"": 3}",both,te
RC000123,AL00044,ENT0007,1,debt_overhang,restructure_emi,"{""amount"": 15800.0, ""days"": 30, ""months"": 3}",both,te
RC000124,AL00044,ENT0007,2,working_capital_erosion,request_bridge_loan,"{""amount"": 15800.0, ""days"": 30, ""months"": 3}",both,te
RC000125,AL00044,ENT0007,3,demand_trough,stagger_batch,"{""amount"": 15800.0, ""days"": 30, ""months"": 3}",merchant,te
RC000126,AL00045,ENT0007,1,debt_overhang,restructure_emi,"{""amount"": 70800.0, ""days"": 30, ""months"": 3}",both,te
RC000127,AL00045,ENT0007,2,receivable_stretch,collect_udhaar,"{""amount"": 70800.0, ""days"": 30, ""months"": 3}",merchant,te
RC000128,AL00045,ENT0007,3,working_capital_erosion,request_bridge_loan,"{""amount"": 70800.0, ""days"": 30, ""months"": 3}",both,te
RC000129,AL00046,ENT0007,1,receivable_stretch,collect_udhaar,"{""amount"": 81500.0, ""days"": 30, ""months"": 3}",merchant,te
RC000130,AL00046,ENT0007,2,debt_overhang,restructure_emi,"{""amount"": 81500.0, ""days"": 30, ""months"": 3}",both,te
RC000131,AL00046,ENT0007,3,working_capital_erosion,request_bridge_loan,"{""amount"": 81500.0, ""days"": 30, ""months"": 3}",both,te
RC000132,AL00047,ENT0007,1,margin_squeeze,prebook_input,"{""amount"": 34000.0, ""days"": 30, ""months"": 3}",merchant,te
RC000133,AL00047,ENT0007,2,working_capital_erosion,request_bridge_loan,"{""amount"": 34000.0, ""days"": 30, ""months"": 3}",both,te
RC000134,AL00047,ENT0007,3,receivable_stretch,collect_udhaar,"{""amount"": 34000.0, ""days"": 30, ""months"": 3}",merchant,te
RC000135,AL00048,ENT0007,1,working_capital_erosion,request_bridge_loan,"{""amount"": 11100.0, ""days"": 30, ""months"": 3}",both,te
RC000136,AL00048,ENT0007,2,margin_squeeze,prebook_input,"{""amount"": 11100.0, ""days"": 30, ""months"": 3}",merchant,te
RC000137,AL00048,ENT0007,3,receivable_stretch,collect_udhaar,"{""amount"": 11100.0, ""days"": 30, ""months"": 3}",merchant,te
RC000138,AL00049,ENT0007,1,working_capital_erosion,request_bridge_loan,"{""amount"": 3000.0, ""days"": 30, ""months"": 3}",both,te
RC000139,AL00049,ENT0007,2,receivable_stretch,collect_udhaar,"{""amount"": 3000.0, ""days"": 30, ""months"": 3}",merchant,te
RC000140,AL00049,ENT0007,3,debt_overhang,restructure_emi,"{""amount"": 3000.0, ""days"": 30, ""months"": 3}",both,te
RC000141,AL00050,ENT0007,1,climate_shock,prebook_input,"{""amount"": 48700.0, ""days"": 30, ""months"": 3}",merchant,te
RC000142,AL00050,ENT0007,2,receivable_stretch,collect_udhaar,"{""amount"": 48700.0, ""days"": 30, ""months"": 3}",merchant,te
RC000143,AL00050,ENT0007,3,debt_overhang,restructure_emi,"{""amount"": 48700.0, ""days"": 30, ""months"": 3}",both,te
RC000144,AL00051,ENT0007,1,margin_squeeze,prebook_input,"{""amount"": 37200.0, ""days"": 30, ""months"": 3}",merchant,te
RC000145,AL00051,ENT0007,2,receivable_stretch,collect_udhaar,"{""amount"": 37200.0, ""days"": 30, ""months"": 3}",merchant,te
RC000146,AL00051,ENT0007,3,working_capital_erosion,request_bridge_loan,"{""amount"": 37200.0, ""days"": 30, ""months"": 3}",both,te
RC000147,AL00052,ENT0007,1,margin_squeeze,prebook_input,"{""amount"": 9500.0, ""days"": 30, ""months"": 3}",merchant,te
RC000148,AL00052,ENT0007,2,receivable_stretch,collect_udhaar,"{""amount"": 9500.0, ""days"": 30, ""months"": 3}",merchant,te
RC000149,AL00052,ENT0007,3,working_capital_erosion,request_bridge_loan,"{""amount"": 9500.0, ""days"": 30, ""months"": 3}",both,te
RC000150,AL00053,ENT0008,1,margin_squeeze,prebook_input,"{""amount"": 23800.0, ""days"": 30, ""months"": 3}",merchant,or
RC000151,AL00053,ENT0008,2,receivable_stretch,collect_udhaar,"{""amount"": 23800.0, ""days"": 30, ""months"": 3}",merchant,or
RC000152,AL00053,ENT0008,3,demand_trough,stagger_batch,"{""amount"": 23800.0, ""days"": 30, ""months"": 3}",merchant,or
RC000153,AL00054,ENT0009,1,debt_overhang,restructure_emi,"{""amount"": 167600.0, ""days"": 30, ""months"": 3}",both,mr
RC000154,AL00054,ENT0009,2,working_capital_erosion,request_bridge_loan,"{""amount"": 167600.0, ""days"": 30, ""months"": 3}",both,mr
RC000155,AL00054,ENT0009,3,demand_trough,stagger_batch,"{""amount"": 167600.0, ""days"": 30, ""months"": 3}",merchant,mr
RC000156,AL00055,ENT0010,1,margin_squeeze,prebook_input,"{""amount"": 9700.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000157,AL00055,ENT0010,2,receivable_stretch,collect_udhaar,"{""amount"": 9700.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000158,AL00055,ENT0010,3,climate_shock,prebook_input,"{""amount"": 9700.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000159,AL00056,ENT0011,1,working_capital_erosion,request_bridge_loan,"{""amount"": 16900.0, ""days"": 30, ""months"": 3}",both,hi
RC000160,AL00056,ENT0011,2,debt_overhang,restructure_emi,"{""amount"": 16900.0, ""days"": 30, ""months"": 3}",both,hi
RC000161,AL00056,ENT0011,3,receivable_stretch,collect_udhaar,"{""amount"": 16900.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000162,AL00057,ENT0011,1,receivable_stretch,collect_udhaar,"{""amount"": 29500.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000163,AL00057,ENT0011,2,debt_overhang,restructure_emi,"{""amount"": 29500.0, ""days"": 30, ""months"": 3}",both,hi
RC000164,AL00057,ENT0011,3,demand_trough,stagger_batch,"{""amount"": 29500.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000165,AL00058,ENT0011,1,receivable_stretch,collect_udhaar,"{""amount"": 22000.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000166,AL00058,ENT0011,2,demand_trough,stagger_batch,"{""amount"": 22000.0, ""days"": 30, ""months"": 3}",merchant,hi
RC000167,AL00059,ENT0012,1,demand_trough,stagger_batch,"{""amount"": 9800.0, ""days"": 30, ""months"": 3}",merchant,mr
RC000168,AL00059,ENT0012,2,climate_shock,prebook_input,"{""amount"": 9800.0, ""days"": 30, ""months"": 3}",merchant,mr
RC000169,AL00059,ENT0012,3,working_capital_erosion,request_bridge_loan,"{""amount"": 9800.0, ""days"": 30, ""months"": 3}",both,mr
RC000170,AL00060,ENT0013,1,working_capital_erosion,request_bridge_loan,"{""amount"": 13800.0, ""days"": 30, ""months"": 3}",both,as
RC000171,AL00060,ENT0013,2,debt_overhang,restructure_emi,"{""amount"": 13800.0, ""days"": 30, ""months"": 3}",both,as
RC000172,AL00060,ENT0013,3,receivable_stretch,collect_udhaar,"{""amount"": 13800.0, ""days"": 30, ""months"": 3}",merchant,as
RC000173,AL00061,ENT0014,1,receivable_stretch,collect_udhaar,"{""amount"": 15200.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000174,AL00061,ENT0014,2,demand_trough,stagger_batch,"{""amount"": 15200.0, ""days"": 30, ""months"": 3}",merchant,gu
RC000175,AL00061,ENT0014,3,debt_overhang,restructure_emi,"{""amount"": 15200.0, ""days"": 30, ""months"": 3}",both,gu
RC000176,AL00062,ENT0015,1,working_capital_erosion,request_bridge_loan,"{""amount"": 51000.0, ""days"": 30, ""months"": 3}",both,as
RC000177,AL00062,ENT0015,2,margin_squeeze,prebook_input,"{""amount"": 51000.0, ""days"": 30, ""months"": 3}",merchant,as
RC000178,AL00063,ENT0015,1,working_capital_erosion,request_bridge_loan,"{""amount"": 5700.0, ""days"": 30, ""months"": 3}",both,as
RC000179,AL00063,ENT0015,2,demand_trough,stagger_batch,"{""amount"": 5700.0, ""days"": 30, ""months"": 3}",merchant,as
RC000180,AL00063,ENT0015,3,margin_squeeze,prebook_input,"{""amount"": 5700.0, ""days"": 30, ""months"": 3}",merchant,as
RC000181,AL00064,ENT0016,1,debt_overhang,restructure_emi,"{""amount"": 9600.0, ""days"": 30, ""months"": 3}",both,or
RC000182,AL00064,ENT0016,2,working_capital_erosion,request_bridge_loan,"{""amount"": 9600.0, ""days"": 30, ""months"": 3}",both,or
RC000183,AL00064,ENT0016,3,receivable_stretch,collect_udhaar,"{""amount"": 9600.0, ""days"": 30, ""months"": 3}",merchant,or
RC000184,AL00065,ENT0016,1,working_capital_erosion,request_bridge_loan,"{""amount"": 18500.0, ""days"": 30, ""months"": 3}",both,or
RC000185,AL00065,ENT0016,2,receivable_stretch,collect_udhaar,"{""amount"": 18500.0, ""days"": 30, ""months"": 3}",merchant,or
RC000186,AL00065,ENT0016,3,debt_overhang,restructure_emi,"{""amount"": 18500.0, ""days"": 30, ""months"": 3}",both,or
RC000187,AL00066,ENT0016,1,working_capital_erosion,request_bridge_loan,"{""amount"": 43500.0, ""days"": 30, ""months"": 3}",both,or
RC000188,AL00066,ENT0016,2,debt_overhang,restructure_emi,"{""amount"": 43500.0, ""days"": 30, ""months"": 3}",both,or
RC000189,AL00066,ENT0016,3,receivable_stretch,collect_udhaar,"{""amount"": 43500.0, ""days"": 30, ""months"": 3}",merchant,or
RC000190,AL00067,ENT0016,1,receivable_stretch,collect_udhaar,"{""amount"": 55300.0, ""days"": 30, ""months"": 3}",merchant,or
RC000191,AL00067,ENT0016,2,debt_overhang,restructure_emi,"{""amount"": 55300.0, ""days"": 30, ""months"": 3}",both,or
RC000192,AL00067,ENT0016,3,margin_squeeze,prebook_input,"{""amount"": 55300.0, ""days"": 30, ""months"": 3}",merchant,or
RC000193,AL00068,ENT0016,1,working_capital_erosion,request_bridge_loan,"{""amount"": 19800.0, ""days"": 30, ""months"": 3}",both,or
RC000194,AL00068,ENT0016,2,debt_overhang,restructure_emi,"{""amount"": 19800.0, ""days"": 30, ""months"": 3}",both,or
RC000195,AL00068,ENT0016,3,receivable_stretch,collect_udhaar,"{""amount"": 19800.0, ""days"": 30, ""months"": 3}",merchant,or
RC000196,AL00069,ENT0016,1,working_capital_erosion,request_bridge_loan,"{""amount"": 5600.0, ""days"": 30, ""months"": 3}",both,or
RC000197,AL00069,ENT0016,2,demand_trough,stagger_batch,"{""amount"": 5600.0, ""days"": 30, ""months"": 3}",merchant,or
RC000198,AL00069,ENT0016,3,receivable_stretch,collect_udhaar,"{""amount"": 5600.0, ""days"": 30, ""months"": 3}",merchant,or
RC000199,AL00070,ENT0016,1,demand_trough,stagger_batch,"{""amount"": 8200.0, ""days"": 30, ""months"": 3}",merchant,or
