assessment_id,enterprise_id,as_of,sector,district_id,prob_stress,prob_missed_repayment,rule_score,fused_score,risk_tier,tier_cutoffs,band_width,low_visibility,data_completeness,buffer_days,dscr_annual,credit_headroom,suggested_max_emi,bridge_headroom,net_buffer_days,forecast_net_90d_p10,forecast_net_90d_p50,forecast_net_90d_p90,reason_1,reason_1_contrib,reason_2,reason_2_contrib,reason_3,reason_3_contrib,fusion_weights,model_id,rule_version
AS000001,ENT0001,2023-11-30,DAIRY,1,0.0021305749248831073,0.00011242040783985794,0.0,0.001,GREEN,AMBER>=0.38;RED>=0.58,46806.0,False,0.593,45.3,4.85,14100.0,670.0,14000.0,45.3,-6585.0,24527.0,40221.0,,0.0,,0.0,,0.0,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000002,ENT0001,2023-12-31,DAIRY,1,0.000462325887987807,5.531776139202198e-05,0.2316,0.1276,GREEN,AMBER>=0.38;RED>=0.58,26966.0,False,0.602,70.3,6.43,25500.0,1212.0,16700.0,70.3,5157.0,16007.0,32123.0,demand_trough,0.3243,climate_shock,0.2857,,0.0,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000003,ENT0001,2024-01-31,DAIRY,1,0.006202951050514003,8.394733670693845e-05,0.3474,0.1939,GREEN,AMBER>=0.38;RED>=0.58,18561.0,False,0.614,62.8,5.95,21400.0,1017.0,10700.0,62.8,-7075.0,1689.0,11486.0,receivable_stretch,0.3333,demand_trough,0.3243,climate_shock,0.2857,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000004,ENT0001,2024-02-29,DAIRY,1,0.800155161879671,4.5541622502256404e-05,0.3474,0.5511,AMBER,AMBER>=0.38;RED>=0.58,32624.0,False,0.617,58.4,6.37,8000.0,380.0,15000.0,58.4,-33496.0,-14839.0,-872.0,receivable_stretch,0.3333,demand_trough,0.3243,climate_shock,0.2857,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000005,ENT0001,2024-03-31,DAIRY,1,0.8917825044466448,0.0003730315204720243,0.4421,0.6445,RED,AMBER>=0.38;RED>=0.58,53340.0,False,0.625,51.6,6.28,8300.0,395.0,13500.0,51.6,-63131.0,-30994.0,-9791.0,demand_trough,0.3243,margin_squeeze,0.3143,climate_shock,0.2857,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000006,ENT0001,2024-04-30,DAIRY,1,0.8431562853401665,0.013014609528997838,0.6842,0.7557,RED,AMBER>=0.38;RED>=0.58,51414.0,False,0.617,28.5,4.77,5500.0,261.0,5000.0,28.5,-53818.0,-24731.0,-2404.0,margin_squeeze,1.0,receivable_stretch,0.3333,climate_shock,0.2857,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000007,ENT0001,2024-05-31,DAIRY,1,0.24317579592527613,0.05905351884006178,0.6737,0.48,AMBER,AMBER>=0.38;RED>=0.58,37473.0,False,0.638,10.2,3.48,5700.0,271.0,9000.0,10.2,-35844.0,-18271.0,1629.0,margin_squeeze,1.0,working_capital_erosion,0.5588,climate_shock,0.2857,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000008,ENT0001,2024-06-30,DAIRY,1,0.013141691609074491,0.1399621087214387,0.7263,0.4054,AMBER,AMBER>=0.38;RED>=0.58,16905.0,False,0.644,-2.8,2.43,6900.0,328.0,7900.0,-2.8,-12116.0,-4454.0,4789.0,margin_squeeze,1.0,working_capital_erosion,1.0,,0.0,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000009,ENT0001,2024-07-31,DAIRY,1,0.024338756439404738,0.06979690434599745,0.8421,0.4741,AMBER,AMBER>=0.38;RED>=0.58,22918.0,False,0.647,3.6,1.97,17700.0,841.0,8300.0,-13.0,-1915.0,9220.0,21003.0,margin_squeeze,1.0,working_capital_erosion,1.0,debt_overhang,0.3056,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000010,ENT0001,2024-08-31,DAIRY,1,0.01834616601404397,0.08414262000855385,0.9789,0.5467,AMBER,AMBER>=0.38;RED>=0.58,34273.0,False,0.648,4.9,2.17,17100.0,813.0,6100.0,-25.7,5983.0,23775.0,40256.0,margin_squeeze,1.0,working_capital_erosion,0.7353,receivable_stretch,0.3333,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000011,ENT0001,2024-09-30,DAIRY,1,0.032660943336383634,0.007833096562627536,0.4947,0.2868,GREEN,AMBER>=0.38;RED>=0.58,39803.0,False,0.655,18.3,2.35,21200.0,1008.0,15300.0,-13.3,2087.0,26186.0,41890.0,working_capital_erosion,0.7353,margin_squeeze,0.3143,debt_overhang,0.3056,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000012,ENT0001,2024-10-31,DAIRY,1,0.06582842551758682,0.0034840919761510137,0.3789,0.238,GREEN,AMBER>=0.38;RED>=0.58,48326.0,False,0.67,15.4,2.04,17100.0,813.0,11100.0,-9.5,-6318.0,30632.0,42008.0,working_capital_erosion,0.7353,debt_overhang,0.3056,,0.0,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000013,ENT0001,2024-11-30,DAIRY,1,0.0472074108919241,0.00619705374113423,0.6947,0.4033,AMBER,AMBER>=0.38;RED>=0.58,18771.0,False,0.669,11.3,1.3,11900.0,566.0,9300.0,-12.3,28310.0,36530.0,47081.0,working_capital_erosion,0.7353,receivable_stretch,0.3333,debt_overhang,0.3056,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000014,ENT0001,2024-12-31,DAIRY,1,0.04628196528138932,0.0026676913928707744,0.2316,0.1482,GREEN,AMBER>=0.38;RED>=0.58,25570.0,False,0.668,18.8,1.68,15800.0,751.0,21200.0,18.8,1680.0,15902.0,27250.0,demand_trough,0.3243,working_capital_erosion,0.2941,,0.0,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000015,ENT0001,2025-01-31,DAIRY,1,0.09092223326406568,0.0006678123435374892,0.2421,0.1741,GREEN,AMBER>=0.38;RED>=0.58,23316.0,False,0.685,31.0,2.19,14600.0,694.0,15700.0,31.0,-14405.0,824.0,8911.0,receivable_stretch,0.3333,demand_trough,0.3243,,0.0,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000016,ENT0001,2025-02-28,DAIRY,1,0.7443412338857329,0.0004997954200079451,0.1263,0.4044,AMBER,AMBER>=0.38;RED>=0.58,38196.0,False,0.686,38.2,2.07,4100.0,195.0,13800.0,38.2,-38936.0,-12046.0,-740.0,demand_trough,0.3243,,0.0,,0.0,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000017,ENT0001,2025-03-31,DAIRY,1,0.817855267658477,0.911727329263177,0.1263,0.4375,AMBER,AMBER>=0.38;RED>=0.58,50939.0,False,0.704,32.2,1.87,3400.0,162.0,13000.0,32.2,-60039.0,-20449.0,-9100.0,demand_trough,0.3243,,0.0,,0.0,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
AS000018,ENT0001,2025-04-30,DAIRY,1,0.8504612514481577,0.9121036039541308,0.5579,0.6896,RED,AMBER>=0.38;RED>=0.58,47464.0,False,0.706,17.9,2.19,3800.0,181.0,10000.0,17.9,-55468.0,-25789.0,-8004.0,climate_shock,0.7143,working_capital_erosion,0.5588,margin_squeeze,0.2571,"{""model"": 0.45, ""rule"": 0.55}",hgb_stress_v1.2,rules_v1.2_18rules
