rule_key,mechanism,weight,rule_version
thin_buffer,working_capital_erosion,0.1,rules_v1.2_18rules
critical_buffer,working_capital_erosion,0.15,rules_v1.2_18rules
buffer_eroding,working_capital_erosion,0.09,rules_v1.2_18rules
input_cost_squeeze,margin_squeeze,0.11,rules_v1.2_18rules
severe_cost_squeeze,margin_squeeze,0.15,rules_v1.2_18rules
spend_exceeds_earnings,margin_squeeze,0.09,rules_v1.2_18rules
receivable_stretch,receivable_stretch,0.12,rules_v1.2_18rules
overdue_book,receivable_stretch,0.11,rules_v1.2_18rules
aged_receivables,receivable_stretch,0.1,rules_v1.2_18rules
repayment_stress,debt_overhang,0.15,rules_v1.2_18rules
heavy_emi_burden,debt_overhang,0.1,rules_v1.2_18rules
informal_borrowing,debt_overhang,0.11,rules_v1.2_18rules
heat_anomaly,climate_shock,0.11,rules_v1.2_18rules
severe_heat_anomaly,climate_shock,0.14,rules_v1.2_18rules
rainfall_anomaly,climate_shock,0.1,rules_v1.2_18rules
seasonal_trough_ahead,demand_trough,0.12,rules_v1.2_18rules
deep_trough_ahead,demand_trough,0.15,rules_v1.2_18rules
revenue_declining_yoy,demand_trough,0.1,rules_v1.2_18rules
