sector,month,inflow_index,outflow_index
DAIRY,1,1.12,0.92
DAIRY,2,1.06,0.95
DAIRY,3,0.97,1.05
DAIRY,4,0.84,1.2
DAIRY,5,0.76,1.28
DAIRY,6,0.78,1.22
DAIRY,7,0.86,1.05
DAIRY,8,0.92,0.95
DAIRY,9,0.97,0.92
DAIRY,10,1.12,0.9
DAIRY,11,1.2,0.9
DAIRY,12,1.18,0.9
POULTRY,1,1.14,1.0
POULTRY,2,1.1,1.0
POULTRY,3,1.04,1.02
POULTRY,4,1.0,1.06
POULTRY,5,0.96,1.1
POULTRY,6,0.92,1.08
POULTRY,7,0.8,1.02
POULTRY,8,0.79,1.0
POULTRY,9,0.84,1.0
POULTRY,10,0.96,1.0
POULTRY,11,1.1,1.0
POULTRY,12,1.15,1.0
HANDICRAFT,1,1.0,1.0
HANDICRAFT,2,0.95,0.98
HANDICRAFT,3,0.85,0.95
HANDICRAFT,4,0.72,0.92
HANDICRAFT,5,0.7,0.92
HANDICRAFT,6,0.75,0.98
HANDICRAFT,7,0.85,1.1
HANDICRAFT,8,1.05,1.18
HANDICRAFT,9,1.25,1.2
HANDICRAFT,10,1.35,1.05
HANDICRAFT,11,1.2,0.98
HANDICRAFT,12,1.05,0.96
FOODPROC,1,0.95,0.98
FOODPROC,2,1.05,1.08
FOODPROC,3,1.25,1.28
FOODPROC,4,1.3,1.3
FOODPROC,5,1.05,1.02
FOODPROC,6,0.85,0.85
FOODPROC,7,0.8,0.82
FOODPROC,8,0.82,0.85
FOODPROC,9,0.9,0.95
FOODPROC,10,1.2,1.25
FOODPROC,11,1.3,1.28
FOODPROC,12,1.1,1.05
RETAIL,1,1.08,1.05
RETAIL,2,1.0,1.0
RETAIL,3,0.98,0.98
RETAIL,4,0.97,0.97
RETAIL,5,0.95,0.96
RETAIL,6,0.9,0.92
RETAIL,7,0.88,0.92
RETAIL,8,0.92,0.98
RETAIL,9,1.02,1.1
RETAIL,10,1.25,1.22
RETAIL,11,1.18,1.12
RETAIL,12,1.05,1.02
