event_code,enterprise_id
EV01,ENT0001
EV01,ENT0022
EV01,ENT0028
EV01,ENT0030
EV01,ENT0031
EV01,ENT0044
EV01,ENT0066
EV01,ENT0086
EV01,ENT0087
EV01,ENT0089
EV01,ENT0107
EV01,ENT0121
EV01,ENT0124
EV01,ENT0137
EV01,ENT0144
EV01,ENT0155
EV01,ENT0182
EV01,ENT0184
EV01,ENT0186
EV01,ENT0198
EV01,ENT0199
EV01,ENT0205
EV01,ENT0206
EV01,ENT0243
EV02,ENT0019
EV02,ENT0024
EV02,ENT0033
EV02,ENT0045
EV02,ENT0075
EV02,ENT0085
EV02,ENT0104
EV02,ENT0125
EV02,ENT0130
EV02,ENT0131
EV02,ENT0178
EV02,ENT0195
EV02,ENT0202
EV02,ENT0203
EV02,ENT0231
EV02,ENT0232
EV02,ENT0237
EV02,ENT0241
EV02,ENT0244
EV02,ENT0252
EV03,ENT0003
EV03,ENT0004
EV03,ENT0007
EV03,ENT0009
EV03,ENT0012
EV03,ENT0023
EV03,ENT0025
EV03,ENT0029
EV03,ENT0046
EV03,ENT0057
EV03,ENT0059
EV03,ENT0060
EV03,ENT0061
EV03,ENT0065
EV03,ENT0073
EV03,ENT0074
EV03,ENT0088
EV03,ENT0090
EV03,ENT0097
EV03,ENT0098
EV03,ENT0099
EV03,ENT0112
EV03,ENT0114
EV03,ENT0123
EV03,ENT0127
EV03,ENT0139
EV03,ENT0148
EV03,ENT0152
EV03,ENT0154
EV03,ENT0157
EV03,ENT0158
EV03,ENT0165
EV03,ENT0167
EV03,ENT0169
EV03,ENT0170
EV03,ENT0193
EV03,ENT0216
EV03,ENT0217
EV03,ENT0234
EV03,ENT0236
EV03,ENT0238
EV03,ENT0242
EV03,ENT0248
EV03,ENT0250
EV04,ENT0002
EV04,ENT0013
EV04,ENT0015
EV04,ENT0017
EV04,ENT0018
EV04,ENT0020
EV04,ENT0036
EV04,ENT0040
EV04,ENT0049
EV04,ENT0052
EV04,ENT0053
EV04,ENT0055
EV04,ENT0062
EV04,ENT0064
EV04,ENT0070
EV04,ENT0076
EV04,ENT0077
EV04,ENT0078
EV04,ENT0093
EV04,ENT0094
EV04,ENT0100
EV04,ENT0105
EV04,ENT0106
EV04,ENT0111
EV04,ENT0126
EV04,ENT0129
EV04,ENT0134
EV04,ENT0142
EV04,ENT0149
EV04,ENT0160
EV04,ENT0161
EV04,ENT0171
EV04,ENT0188
EV04,ENT0196
EV04,ENT0221
EV04,ENT0225
EV04,ENT0227
EV04,ENT0228
EV04,ENT0230
EV04,ENT0233
EV04,ENT0240
EV04,ENT0246
EV05,ENT0005
EV05,ENT0011
EV05,ENT0013
EV05,ENT0016
EV05,ENT0021
EV05,ENT0036
EV05,ENT0037
EV05,ENT0049
EV05,ENT0051
EV05,ENT0053
EV05,ENT0055
EV05,ENT0067
EV05,ENT0069
EV05,ENT0072
EV05,ENT0076
EV05,ENT0077
EV05,ENT0079
EV05,ENT0101
EV05,ENT0105
EV05,ENT0111
EV05,ENT0122
EV05,ENT0126
EV05,ENT0133
EV05,ENT0135
EV05,ENT0138
EV05,ENT0140
EV05,ENT0141
EV05,ENT0143
EV05,ENT0156
EV05,ENT0159
EV05,ENT0163
EV05,ENT0164
EV05,ENT0166
EV05,ENT0172
EV05,ENT0173
EV05,ENT0181
EV05,ENT0188
EV05,ENT0194
EV05,ENT0196
EV05,ENT0200
EV05,ENT0211
EV05,ENT0213
EV05,ENT0214
EV05,ENT0226
EV05,ENT0245
EV05,ENT0247
EV06,ENT0002
EV06,ENT0003
EV06,ENT0004
EV06,ENT0007
EV06,ENT0008
EV06,ENT0009
EV06,ENT0010
EV06,ENT0012
EV06,ENT0015
EV06,ENT0018
EV06,ENT0020
EV06,ENT0023
EV06,ENT0025
EV06,ENT0026
EV06,ENT0027
EV06,ENT0029
EV06,ENT0032
EV06,ENT0034
EV06,ENT0040
EV06,ENT0043
EV06,ENT0046
EV06,ENT0047
EV06,ENT0050
EV06,ENT0056
EV06,ENT0057
EV06,ENT0058
EV06,ENT0059
EV06,ENT0060
EV06,ENT0061
EV06,ENT0063
EV06,ENT0065
EV06,ENT0068
EV06,ENT0070
EV06,ENT0071
EV06,ENT0073
EV06,ENT0074
EV06,ENT0078
EV06,ENT0083
EV06,ENT0088
EV06,ENT0090
EV06,ENT0092
EV06,ENT0093
EV06,ENT0094
EV06,ENT0096
EV06,ENT0097
EV06,ENT0098
EV06,ENT0099
EV06,ENT0100
EV06,ENT0102
EV06,ENT0103
EV06,ENT0106
EV06,ENT0109
EV06,ENT0110
EV06,ENT0112
EV06,ENT0114
EV06,ENT0116
EV06,ENT0117
EV06,ENT0118
EV06,ENT0123
EV06,ENT0127
EV06,ENT0128
EV06,ENT0129
EV06,ENT0132
EV06,ENT0134
EV06,ENT0139
EV06,ENT0142
EV06,ENT0145
EV06,ENT0146
EV06,ENT0148
EV06,ENT0149
EV06,ENT0150
EV06,ENT0152
EV06,ENT0153
EV06,ENT0154
EV06,ENT0157
EV06,ENT0158
EV06,ENT0160
EV06,ENT0161
EV06,ENT0165
EV06,ENT0167
EV06,ENT0169
EV06,ENT0170
EV06,ENT0171
EV06,ENT0175
EV06,ENT0176
EV06,ENT0179
EV06,ENT0180
EV06,ENT0183
EV06,ENT0185
EV06,ENT0187
EV06,ENT0191
EV06,ENT0193
EV06,ENT0197
EV06,ENT0201
EV06,ENT0204
EV06,ENT0207
EV06,ENT0208
EV06,ENT0210
EV06,ENT0212
EV06,ENT0215
EV06,ENT0216
EV06,ENT0217
EV06,ENT0218
EV06,ENT0219
