episode_id,enterprise_id,onset_date,resolution_date,first_missed_repayment,duration_days,mechanism,severity,min_buffer_days,causal_drivers,label_source
EP0001,ENT0001,2024-05-26,,2025-06-14,796,climate_shock,high,-4.3,"{""climate_shock"": 1.252, ""margin_squeeze"": 0.809, ""demand_trough"": 0.52, ""working_capital_erosion"": 0.377, ""debt_overhang"": 0.064}",simulator
EP0002,ENT0001,2025-05-14,,2025-06-14,443,margin_squeeze,high,-3.0,"{""margin_squeeze"": 0.302, ""working_capital_erosion"": 0.204, ""demand_trough"": 0.197, ""climate_shock"": 0.17}",simulator
EP0003,ENT0001,2026-04-29,,,93,margin_squeeze,high,-3.3,"{""margin_squeeze"": 1.548, ""demand_trough"": 0.339, ""climate_shock"": 0.13, ""working_capital_erosion"": 0.116}",simulator
EP0004,ENT0003,2024-03-11,2024-09-12,,185,demand_trough,high,2.1,"{""demand_trough"": 0.442}",simulator
EP0005,ENT0006,2024-05-21,,2024-07-21,801,margin_squeeze,high,-3.4,"{""margin_squeeze"": 0.56, ""climate_shock"": 0.394, ""working_capital_erosion"": 0.353}",simulator
EP0006,ENT0006,2025-04-03,,2025-06-21,484,margin_squeeze,high,-3.5,"{""margin_squeeze"": 0.083}",simulator
EP0007,ENT0006,2026-05-01,,,91,margin_squeeze,high,-3.2,"{""margin_squeeze"": 0.518, ""climate_shock"": 0.201, ""working_capital_erosion"": 0.126}",simulator
EP0008,ENT0007,2024-05-16,2025-12-02,,565,margin_squeeze,medium,7.0,"{""margin_squeeze"": 0.5, ""climate_shock"": 0.175, ""working_capital_erosion"": 0.147, ""debt_overhang"": 0.078}",simulator
EP0009,ENT0011,2023-12-13,2024-02-20,2023-12-28,69,debt_overhang,high,-7.8,"{""debt_overhang"": 0.3}",simulator
EP0010,ENT0014,2023-11-29,2024-03-02,,94,working_capital_erosion,high,-7.5,"{""working_capital_erosion"": 0.962}",simulator
EP0011,ENT0015,2024-03-18,2024-09-02,,168,demand_trough,low,8.2,"{""demand_trough"": 0.45, ""climate_shock"": 0.239}",simulator
EP0012,ENT0016,2024-05-06,2025-03-19,,317,debt_overhang,high,-6.0,"{""debt_overhang"": 0.722, ""demand_trough"": 0.582, ""working_capital_erosion"": 0.491, ""receivable_stretch"": 0.14}",simulator
EP0013,ENT0016,2024-09-25,2025-03-19,,175,receivable_stretch,high,-5.6,"{""receivable_stretch"": 1.33, ""working_capital_erosion"": 0.487, ""debt_overhang"": 0.289, ""demand_trough"": 0.068}",simulator
EP0014,ENT0020,2024-03-06,2024-07-17,,133,climate_shock,high,1.3,"{""climate_shock"": 0.256, ""working_capital_erosion"": 0.055}",simulator
EP0015,ENT0022,2024-06-10,2024-11-25,,168,climate_shock,high,3.0,"{""climate_shock"": 1.257, ""margin_squeeze"": 0.848, ""working_capital_erosion"": 0.675}",simulator
EP0016,ENT0022,2026-05-22,,,70,margin_squeeze,high,-3.2,"{""margin_squeeze"": 1.652, ""climate_shock"": 1.115, ""working_capital_erosion"": 0.349}",simulator
EP0017,ENT0028,2024-05-23,2024-12-26,,217,climate_shock,high,-0.2,"{""climate_shock"": 1.201, ""margin_squeeze"": 0.47, ""working_capital_erosion"": 0.363, ""debt_overhang"": 0.314, ""demand_trough"": 0.12}",simulator
EP0018,ENT0028,2025-06-06,2025-12-15,,192,margin_squeeze,high,-3.1,"{""margin_squeeze"": 0.523, ""working_capital_erosion"": 0.32, ""climate_shock"": 0.239}",simulator
EP0019,ENT0028,2026-05-26,,,66,climate_shock,high,-2.8,"{""climate_shock"": 1.101, ""margin_squeeze"": 0.385, ""working_capital_erosion"": 0.279, ""demand_trough"": 0.263}",simulator
EP0020,ENT0030,2024-06-07,2024-11-24,,170,climate_shock,medium,3.5,"{""climate_shock"": 1.261, ""margin_squeeze"": 0.844, ""working_capital_erosion"": 0.523, ""debt_overhang"": 0.188}",simulator
EP0021,ENT0031,2024-07-07,2024-12-23,,169,climate_shock,high,2.8,"{""climate_shock"": 1.159, ""margin_squeeze"": 0.87, ""working_capital_erosion"": 0.564}",simulator
EP0022,ENT0031,2025-06-08,,,418,margin_squeeze,high,-2.5,"{""margin_squeeze"": 0.636, ""working_capital_erosion"": 0.324, ""climate_shock"": 0.228}",simulator
EP0023,ENT0031,2026-02-24,,,157,margin_squeeze,high,-3.1,"{""margin_squeeze"": 1.489, ""demand_trough"": 0.193, ""working_capital_erosion"": 0.094}",simulator
EP0024,ENT0033,2025-07-13,2026-01-13,,184,margin_squeeze,low,8.9,"{""margin_squeeze"": 1.014, ""demand_trough"": 0.3, ""working_capital_erosion"": 0.299, ""climate_shock"": 0.082}",simulator
EP0025,ENT0034,2023-12-09,2025-08-31,,631,working_capital_erosion,high,-4.4,"{""working_capital_erosion"": 0.822, ""demand_trough"": 0.07, ""climate_shock"": 0.065}",simulator
EP0026,ENT0034,2024-08-19,2025-08-31,,377,working_capital_erosion,medium,6.9,"{""working_capital_erosion"": 0.389}",simulator
EP0027,ENT0035,2024-01-02,2025-02-15,,410,working_capital_erosion,high,-7.1,"{""working_capital_erosion"": 0.127, ""climate_shock"": 0.083}",simulator
EP0028,ENT0035,2024-09-18,2025-02-15,,150,receivable_stretch,high,-6.9,"{""receivable_stretch"": 0.969, ""demand_trough"": 0.327}",simulator
EP0029,ENT0036,2024-07-31,2024-12-30,,152,receivable_stretch,high,-5.8,"{""receivable_stretch"": 1.154, ""demand_trough"": 0.347, ""working_capital_erosion"": 0.335}",simulator
EP0030,ENT0036,2025-09-27,2026-01-30,,125,receivable_stretch,medium,3.0,"{""receivable_stretch"": 1.431, ""demand_trough"": 0.534, ""working_capital_erosion"": 0.371}",simulator
EP0031,ENT0037,2024-10-06,2024-12-06,,61,receivable_stretch,high,1.8,"{""receivable_stretch"": 1.142, ""working_capital_erosion"": 0.386, ""debt_overhang"": 0.128}",simulator
EP0032,ENT0038,2024-05-27,2025-03-19,,296,margin_squeeze,high,0.9,"{""margin_squeeze"": 0.626, ""working_capital_erosion"": 0.382, ""climate_shock"": 0.221}",simulator
EP0033,ENT0038,2025-06-25,2025-12-07,,165,working_capital_erosion,high,-3.8,"{""working_capital_erosion"": 0.356, ""margin_squeeze"": 0.263, ""climate_shock"": 0.14}",simulator
EP0034,ENT0038,2026-04-29,,,93,margin_squeeze,high,-3.1,"{""margin_squeeze"": 1.578, ""receivable_stretch"": 1.401, ""debt_overhang"": 1.056, ""climate_shock"": 0.148, ""working_capital_erosion"": 0.116, ""demand_trough"": 0.088}",simulator
EP0035,ENT0039,2024-09-03,2025-05-01,2024-09-28,240,working_capital_erosion,high,-6.1,"{""working_capital_erosion"": 0.312, ""demand_trough"": 0.101}",simulator
EP0036,ENT0040,2024-04-06,2024-07-28,,113,climate_shock,medium,3.6,"{""climate_shock"": 0.232}",simulator
EP0037,ENT0048,2023-12-03,2024-03-22,2024-01-01,110,debt_overhang,high,-6.5,"{""debt_overhang"": 0.3}",simulator
EP0038,ENT0048,2024-09-01,2024-12-09,2024-10-01,99,receivable_stretch,high,-5.4,"{""receivable_stretch"": 1.722, ""working_capital_erosion"": 0.056}",simulator
EP0039,ENT0049,2023-12-03,2024-03-08,,96,working_capital_erosion,high,-7.7,"{""working_capital_erosion"": 0.443}",simulator
EP0040,ENT0049,2024-10-30,2024-12-29,,60,receivable_stretch,high,-7.8,"{""receivable_stretch"": 1.399, ""working_capital_erosion"": 0.159}",simulator
EP0041,ENT0050,2024-03-24,2024-08-27,,156,demand_trough,high,2.2,"{""demand_trough"": 0.582, ""climate_shock"": 0.076}",simulator
EP0042,ENT0054,2024-06-03,2024-11-18,,168,margin_squeeze,high,-3.1,"{""margin_squeeze"": 0.644, ""working_capital_erosion"": 0.531, ""climate_shock"": 0.222}",simulator
EP0043,ENT0055,2024-01-01,2024-02-17,,47,debt_overhang,high,-6.6,"{""debt_overhang"": 0.3, ""working_capital_erosion"": 0.123}",simulator
EP0044,ENT0065,2024-05-01,2025-07-21,,446,demand_trough,high,1.6,"{""demand_trough"": 0.337}",simulator
EP0045,ENT0066,2024-05-28,2024-12-25,,211,climate_shock,medium,3.6,"{""climate_shock"": 1.258, ""margin_squeeze"": 0.82, ""working_capital_erosion"": 0.62, ""debt_overhang"": 0.113}",simulator
EP0046,ENT0066,2025-06-23,2025-12-09,,169,working_capital_erosion,high,-0.0,"{""working_capital_erosion"": 0.416, ""margin_squeeze"": 0.402, ""climate_shock"": 0.242}",simulator
EP0047,ENT0066,2026-05-05,,,87,margin_squeeze,high,-2.8,"{""margin_squeeze"": 1.576, ""demand_trough"": 0.327, ""climate_shock"": 0.154, ""working_capital_erosion"": 0.149}",simulator
EP0048,ENT0067,2023-11-29,2026-04-13,2023-12-19,866,working_capital_erosion,high,-7.6,{},simulator
EP0049,ENT0067,2024-07-09,2026-04-13,,643,demand_trough,high,-6.4,"{""demand_trough"": 0.557, ""working_capital_erosion"": 0.45}",simulator
EP0050,ENT0067,2025-02-23,2026-04-13,,414,demand_trough,high,-5.0,"{""demand_trough"": 0.784, ""climate_shock"": 0.099}",simulator
EP0051,ENT0067,2025-08-14,2026-04-13,,242,receivable_stretch,high,-5.9,"{""receivable_stretch"": 1.436, ""working_capital_erosion"": 0.201}",simulator
EP0052,ENT0067,2026-02-26,2026-04-13,,46,demand_trough,high,-8.1,"{""demand_trough"": 0.18, ""climate_shock"": 0.09}",simulator
EP0053,ENT0069,2023-12-08,2024-02-05,,59,working_capital_erosion,high,-7.1,"{""working_capital_erosion"": 0.065}",simulator
EP0054,ENT0072,2023-12-02,2024-03-09,,98,debt_overhang,high,-6.8,"{""debt_overhang"": 0.3}",simulator
EP0055,ENT0073,2024-01-27,2024-06-28,,153,working_capital_erosion,high,-3.0,{},simulator
EP0056,ENT0075,2025-07-14,2026-02-17,,218,margin_squeeze,high,-0.9,"{""margin_squeeze"": 1.012, ""receivable_stretch"": 0.36, ""working_capital_erosion"": 0.289, ""climate_shock"": 0.083}",simulator
EP0057,ENT0076,2024-04-25,2025-03-06,,315,working_capital_erosion,high,-5.7,"{""working_capital_erosion"": 0.454, ""demand_trough"": 0.305}",simulator
EP0058,ENT0080,2024-05-30,,2024-07-06,792,margin_squeeze,high,-4.7,"{""margin_squeeze"": 0.588, ""climate_shock"": 0.429, ""working_capital_erosion"": 0.417, ""debt_overhang"": 0.166}",simulator
EP0059,ENT0080,2025-04-14,,2025-06-06,473,demand_trough,high,-4.1,"{""demand_trough"": 0.234, ""margin_squeeze"": 0.189, ""climate_shock"": 0.08}",simulator
EP0060,ENT0080,2026-04-15,,,107,margin_squeeze,high,-3.5,"{""margin_squeeze"": 0.423, ""working_capital_erosion"": 0.224, ""climate_shock"": 0.089}",simulator
EP0061,ENT0081,2024-07-07,2024-12-03,,149,working_capital_erosion,medium,5.2,"{""working_capital_erosion"": 0.794, ""margin_squeeze"": 0.588, ""demand_trough"": 0.428, ""debt_overhang"": 0.209, ""climate_shock"": 0.113}",simulator
