outcome_id,task_id,enterprise_id,visited_on,outcome,intervention,officer_note_lang,becomes_training_label
OC00001,TK00001,ENT0001,2024-03-09,stress_confirmed,advice_only,gu,True
OC00002,TK00003,ENT0001,2024-07-13,stress_confirmed,scheme_linkage,gu,True
OC00003,TK00006,ENT0001,2025-03-04,false_positive,no_action,gu,True
OC00004,TK00007,ENT0001,2025-05-15,stress_confirmed,bridge_loan_sanctioned,gu,True
OC00005,TK00008,ENT0001,2025-07-22,stress_confirmed,bridge_loan_sanctioned,gu,True
OC00006,TK00009,ENT0001,2025-09-08,stress_confirmed,bridge_loan_sanctioned,gu,True
OC00007,TK00010,ENT0001,2026-01-18,stress_confirmed,advice_only,gu,True
OC00008,TK00012,ENT0001,2026-06-16,stress_confirmed,advice_only,gu,True
OC00009,TK00013,ENT0001,2026-08-04,false_positive,no_action,gu,True
OC00010,TK00014,ENT0002,2023-12-22,false_positive,no_action,as,True
OC00011,TK00016,ENT0002,2026-05-12,stress_confirmed,advice_only,as,True
OC00012,TK00017,ENT0003,2023-12-06,stress_confirmed,scheme_linkage,mr,True
OC00013,TK00018,ENT0003,2024-02-16,stress_confirmed,advice_only,mr,True
OC00014,TK00019,ENT0003,2024-04-06,stress_confirmed,advice_only,mr,True
OC00015,TK00020,ENT0003,2024-06-14,stress_confirmed,emi_rescheduled,mr,True
OC00016,TK00022,ENT0003,2026-05-10,false_positive,no_action,mr,True
OC00017,TK00023,ENT0004,2025-05-06,false_positive,no_action,te,True
OC00018,TK00024,ENT0004,2026-05-17,stress_confirmed,emi_rescheduled,te,True
OC00019,TK00025,ENT0005,2023-12-11,false_positive,no_action,hi,True
OC00020,TK00027,ENT0005,2025-03-09,stress_confirmed,bridge_loan_sanctioned,hi,True
OC00021,TK00028,ENT0005,2025-05-19,stress_confirmed,no_action,hi,True
OC00022,TK00029,ENT0005,2026-01-19,false_positive,no_action,hi,True
OC00023,TK00030,ENT0005,2026-05-10,stress_confirmed,no_action,hi,True
OC00024,TK00031,ENT0006,2024-03-18,stress_confirmed,emi_rescheduled,te,True
OC00025,TK00032,ENT0006,2024-05-16,stress_confirmed,no_action,te,True
OC00026,TK00034,ENT0006,2024-09-15,stress_confirmed,emi_rescheduled,te,True
OC00027,TK00035,ENT0006,2024-11-04,stress_confirmed,advice_only,te,True
OC00028,TK00036,ENT0006,2025-01-21,false_positive,no_action,te,True
OC00029,TK00038,ENT0006,2025-06-24,stress_confirmed,bridge_loan_sanctioned,te,True
OC00030,TK00039,ENT0006,2025-08-07,stress_confirmed,bridge_loan_sanctioned,te,True
OC00031,TK00040,ENT0006,2025-10-14,false_positive,no_action,te,True
OC00032,TK00041,ENT0006,2026-04-06,stress_confirmed,emi_rescheduled,te,True
