district_id,obs_date,rainfall_mm,temp_max_c,humidity_pct,thi,rain_30d,rain_anomaly_pct,source
1,2023-08-01,7.02,31.0,59.0,80.95,7.02,-99.0,open_meteo_era5_synthetic
1,2023-08-02,58.45,32.3,67.7,84.35,65.47,-90.3,open_meteo_era5_synthetic
1,2023-08-03,0.0,31.6,53.9,80.91,65.47,-90.3,open_meteo_era5_synthetic
1,2023-08-04,0.0,30.3,55.5,79.41,65.47,-90.3,open_meteo_era5_synthetic
1,2023-08-05,2.53,30.3,61.2,80.36,68.0,-90.0,open_meteo_era5_synthetic
1,2023-08-06,0.0,33.9,55.4,84.28,68.0,-90.0,open_meteo_era5_synthetic
1,2023-08-07,14.03,29.7,36.7,75.75,82.03,-87.9,open_meteo_era5_synthetic
1,2023-08-08,22.1,35.3,48.0,84.69,104.13,-84.6,open_meteo_era5_synthetic
1,2023-08-09,0.0,29.5,56.9,78.57,104.13,-84.6,open_meteo_era5_synthetic
1,2023-08-10,9.95,32.5,43.9,80.37,114.08,-83.2,open_meteo_era5_synthetic
1,2023-08-11,31.48,32.1,48.0,80.6,145.56,-78.5,open_meteo_era5_synthetic
1,2023-08-12,35.4,29.4,64.2,79.59,180.95999999999998,-73.3,open_meteo_era5_synthetic
1,2023-08-13,36.21,29.6,52.0,78.04,217.17,-68.0,open_meteo_era5_synthetic
1,2023-08-14,55.23,31.9,50.4,80.8,272.4,-59.8,open_meteo_era5_synthetic
1,2023-08-15,51.43,30.7,39.8,77.48,323.83,-52.2,open_meteo_era5_synthetic
1,2023-08-16,102.36,33.8,56.5,84.44,426.19,-37.1,open_meteo_era5_synthetic
1,2023-08-17,30.86,32.6,58.1,83.03,457.05,-32.6,open_meteo_era5_synthetic
1,2023-08-18,0.0,30.8,58.9,80.71,457.05,-32.6,open_meteo_era5_synthetic
1,2023-08-19,19.83,31.1,48.6,79.46,476.88,-29.7,open_meteo_era5_synthetic
1,2023-08-20,22.86,30.3,50.5,78.68,499.74,-26.3,open_meteo_era5_synthetic
1,2023-08-21,51.37,32.4,58.3,82.78,551.11,-18.7,open_meteo_era5_synthetic
1,2023-08-22,26.56,28.8,56.5,77.53,577.67,-14.8,open_meteo_era5_synthetic
1,2023-08-23,11.79,32.1,49.2,80.81,589.46,-13.1,open_meteo_era5_synthetic
1,2023-08-24,18.7,36.4,50.4,86.59,608.16,-10.3,open_meteo_era5_synthetic
1,2023-08-25,25.91,31.1,44.3,78.72,634.0699999999999,-6.5,open_meteo_era5_synthetic
1,2023-08-26,0.0,34.1,43.2,82.17,634.0699999999999,-6.5,open_meteo_era5_synthetic
